title,creator,date,subject,description,category,section,publisher,source,identifier,language,rights,rightsstatement,type,format,original_link,verso_permalink
Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,"Bageant, Liz",2022,Sustainable Agriculture; Sustainable Development; Food supply,"This open access book is the result of an expert panel convened by the Cornell Atkinson Center for Sustainability and Nature Sustainability. The panel tackled the seventeen UN Sustainable Development Goals (SDGs) for 2030 head-on, with respect to the global systems that produce and distribute food. The panel’s rigorous synthesis and analysis of existing research leads compellingly to multiple actionable recommendations that, if adopted, would simultaneously lead to healthy and nutritious diets, equitable and inclusive value chains, resilience to shocks and stressors, and climate and environmental sustainability.",Research Reports,,Palgrave Macmillan,Palgrave Macmillan,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13332848240001851&download=true,https://verso.uidaho.edu/esploro/outputs/996747348701851
July 2021 Newsletter,"Himes, Katherine",2021-07,,,Newsletter,,James A. & Louise McClure Center for Public Policy Research,James A. & Louise McClure Center for Public Policy Research,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13323247880001851&download=true,https://verso.uidaho.edu/esploro/outputs/996740248301851
"Small-scale fishing households facing COVID-19: The case of Lake Victoria, Kenya","Fiorella, Kathryn J; Bageant, Liz; Mojica, Lia; Obuya, Julia A.; Ochieng, Jane; Olela, Pamela; Otuo, Patrick Wanguche; Onyango, Horace Owiti; Aura, Christopher Mulanda; Okronipa, Harriet",2021-05,Food Security; Coping strategies; Fish consumption; Fishing livelihoods; Health shock,"Small-scale fisheries underpin the aquatic food supply, and are facing acute challenges in the wake of the COVID-19 pandemic. The study aimed to examine how small-scale fishing households, including fishers and fish traders, are responding to COVID-19 and associated movement restrictions around Lake Victoria, Kenya. We conducted phone interviews with 88 households in three riparian communities around Lake Victoria to examine shifts in fish consumption, fishing activities, price changes, and coping strategies. We found that households are consuming less fish, perceiving high fish prices, and coping by more often selling than eating fish. Most fishers and traders reported spending less time fishing and trading, and concern about being infected with COVID-19 was high. Our findings suggest movement restrictions and COVID-19 concern, along with high lake levels in the region, may limit fishing activities and fish access. Controlling COVID-19 and supporting opportunities for fishers and traders to safely return to their livelihood activities will be paramount to the recovery of small-scale fishing communities today. Our findings can also support planning to mitigate the impacts of future crises on small-scale fishing communities.",Research Reports,,Elsevier B.V,"Fisheries Research, 237, 105856",,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996747348501851
Fishers' response to temperature change reveals the importance of integrating human behavior in climate change analysis,"Fiorella, Kathryn J; Bageant, Liz; Schwartz, Naomi B; Thilsted, Shakuntala H; Barrett, Christopher B",2021-04,,"Climate change will reshape ecological dynamics. Yet, how temperature increases alter the behavior and resource use of people reliant on natural resources remains underexplored. Consequent behavior shifts have the potential to mitigate or accelerate climate impacts on livelihoods and food security. Particularly within the small-scale inland fisheries that support approximately 10% of the global population, temperature changes likely affect both fish and fishers. To analyze how changing temperatures alter households' fishing behavior, we examined fishing effort and fish catch in a major inland fishery. We used longitudinal observational data from households in Cambodia, which has the highest per-capita consumption of inland fish in the world. Higher temperatures caused households to reduce their participation in fishing but had limited net effects on fish catch. Incorporating human behavioral responses to changing environmental conditions will be fundamental to determining how climate change affects rural livelihoods, food production, and food access.",Research Reports,,American Association for the Advancement of Science,"Science Advances, 7, 18",,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996747348601851
March 2021 Newsletter,"Himes, Katherine",2021-03,,,Newsletter,,James A. & Louise McClure Center for Public Policy Research,James A. & Louise McClure Center for Public Policy Research,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13323247830001851&download=true,https://verso.uidaho.edu/esploro/outputs/996740248201851
Agriculture Snapshot,,2021,Agriculture,This snapshot discusses the economic significance of agriculture in Idaho and the various regional climate impacts affecting different crops and livestock.,Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855890001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649501851
Argiculture Technical Report,"Hatzenbuehler, Patrick; Wardropper, Chloe; Adjesiwor, Albert; Owusu Ansah, Emmanuella; Burnham, Morey; de Haro-Martí, Mario; Dentzman, Katherine; Reed Findlay, J.; Benton Glaze, J.; Hinds, Jen; Jansen, Vincent; Karl, Jason; Lamichhane, Ritika; Lew, Roger; Olsen, Nora; Powell, Matt; Running, Katrina; Sagers, Joseph; Schott, Linda; Walsh, Olga; Wilson, Brandy",2021,Agriculture,"The agricultural sector comprises an important part of the Idaho economy, with agriculture and food and beverage processing accounting for over 18% of total business sales (Idaho State Department of Agriculture (ISDA), 2020). Conditions in the sector influence the lives of all Idahoans to at least some degree through provision of food that fuels daily activities. The goal of this report is to describe the economic risks and opportunities for the Idaho agricultural sector in the context of climate change. The report describes current conditions in the Idaho agricultural sector, observed changes in Idaho's climate and trends in agricultural productivity over the past several decades, projected changes in Idaho's climate and agricultural productivity for key subsectors, specific effects of the changing climate on key agricultural subsectors as identified in the peer-reviewed research literature, the important linkages between water availability and agricultural sector performance, and existing evidence of adaptation strategy adoption by Idaho farmers.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855930001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679344101851
Climate Snapshot,,2021,Climate,"Idaho's economy is linked to abundant natural resources. Idaho's forests, deserts, and mountains sustain agriculture, energy, forests, rangelands, and recreational economies, all of which are dependent on three interrelated aspects of climate, temperature, precipitation, and snowpack.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854860001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649101851
Climate Technical Report,"Abatzoglou, John; Marshall, Adrienne; Harley, Grant",2021,Climate,Observed and Projected Changes in Idaho's Climate,Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855080001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343501851
Energy Technical Report,"Hall, Steve",2021,Energy,"This report focuses on the impacts of climate on energy and the dynamic effects of climate and energy on Idaho's economy. The changing climate carries implications for planning, policy, and social impacts at the international, national, regional, state, and local levels. Concerns surrounding energy and climate center around the availability of primary energy resources necessary for an increasing population and increasing electricity consumption in commercial and household heating and cooling. The relationships among climate, energy production, and the economy are complex. There is a reinforcing loop between energy and the economy; as the economy grows, more energy is required for both production and consumption. Increased energy demand can exceed available output, creating a secondary balancing loop between the economy and energy; as prices increase, costs of economic output also increase and overall output is decreased.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855870001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649401851
Energy Snapshot,,2021,Energy,"This snapshot highlights Idaho's energy landscape, focusing on the transition to clean energy and the challenges posed by climate change",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315856110001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679344201851
Human Health Snapshot,,2021,Human Health,"This report examines how climate change impacts the health of Idahoans, increasing risks of heat-related illnesses, respiratory issues, and other health concerns",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315856030001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679344501851
Human Health Supplemental Report,"Peterson, Steve",2021,Human Health,Report describing Idaho's Health Care landscape.,Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315856150001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649801851
Human Health Technical Report,"Brown, Helen; Peterson, Steven",2021,Human Health,"Human health is significantly impacted by extreme weather-related events. Heat waves, floods, drought, and wildfires increase the risk of heat-related illness, respiratory illness, infectious diseases, mental health disorders, and even loss of life. Climate change will lead to more frequent and intense weather-related events in Idaho. This report examines the impacts of climate change on Idahoans' health and the economy and is organized into five sections: (1) an overview of climate change impacts on health and related economic models and measures; (2) climate impacts on health and wellbeing from air pollution, temperature, allergens, water, vector-borne diseases, and more, as well as economic impacts, when possible; (3) populations most vulnerable to climate-related health impacts and potential economic impacts; (4) opportunities to prepare for climate impacts on health; and (5) summary.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315856190001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649301851
Infrastructure Technical Report,"Vos, Jaap",2021,Infrastructure,"Infrastructure consists of the basic facilities and networks that are needed for a functioning economy. In Idaho, this includes road and rail systems, information and communication networks, energy networks, water and wastewater facilities, and air and seaports. Infrastructure is not only essential for communities to function, the quality and reliability of infrastructure systems also factor into corporate location decisions. Idaho's infrastructure likely will be impacted by climate change and climate change-related weather events.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315856130001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679344901851
Infrastructure Snapshot,,2021,Infrastructure,"This report highlights the vulnerabilities of Idaho's infrastructure to climate change, focusing on risks to transportation, energy, and communication systems.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315856210001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649601851
Rangelands Technical Report,"Winford, Eric; Lee, Katherine",2021,Land,"Key takeaways due to anticipated changes to climate, risks, and implications for rangelands- dependent sectors.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855060001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648401851
Sensitivity of Idaho Fishes to Climate Change,"Caudill, Christopher; Masingale, Jonathan; Seaborn, Travis; Hora, Dona; Isaak, Daniel",2021,Land,"Climate change is predicted to produce “winners” and “losers” among Idaho's native fishes in terms of kilometers of stream habitat. Habitat quality is predicted to decline in large rivers that support the highest quality fisheries for native natural-origin salmon and trout. Warming is predicted to expand the distributions of three key non-native species (brown trout, brook trout, and smallmouth bass), but expansions may only benefit smallmouth bass anglers in rivers; expansions of trout species will occur in small headwater streams that are rarely fished. The changing climate will affect habitats and species interactions in complex ways beyond the effects of temperature alone. Predictions for anadromous fish species are further complicated by migratory life cycles. Economic impacts will depend on changes in fish distribution; fish traits, such as size and abundance; angler access and activity; feedback patterns between climate effects; changes in socio-ecological drivers; climate mitigation actions (e.g., riparian management, instream flow regulation); and economic costs and benefits of conservation and management action, including Endangered Species Act (ESA) listings.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855260001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679342901851
Rangelands Snapshot,,2021,Land,"Idaho's rangelands are diverse and vast, and span grasslands, sagebrush-steppe, shrublands, woodlands, and mountain meadows with streams and rivers often flowing through them. They provide areas for grazing livestock, places to recreate, and habitat for wildlife. In Idaho, rangelands occupy 54% of the total land area, nearly 28.8 million acres, covering most of southern Idaho where the majority of Idaho's population resides. Warmer temperatures and variation in the timing and amount of precipitation contribute to changing rangeland conditions in Idaho. These changes pose risks to the many economic and ecological benefits rangelands provide.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855280001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648001851
Climate Effects on Ungulates,"Strickfaden, Kaitlyn",2021,Land,"Ungulates, such as elk (Cervus elaphus), white-tailed deer (Odocoileus virginianus), mule deer (Odocoileus hemionus), moose (Alces alces), and pronghorn (Antilocapra americana) are ecologically and economically important in Idaho. Many ungulate populations also provide hunting and tourism opportunities. Understanding potential effects that climate change will have on ungulates is important to make sure that herds remain healthy. Understanding climate effects on winter survival is particularly important because winter is the season with the highest mortality rates.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855380001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343101851
Ecosystems and Species Report,"Carr, Kaylee; Hicke, Jeffrey",2021,Land,"Idaho's ecosystems can be characterized in different ways, including a) resilience, a measure of human modification, diversity of microclimates, and ecological representativeness; b) connectivity and climate flow; and c) biodiversity value. Much of Idaho is considered resilient, with ecosystems that are connected, allow movement of species, and recognized for biodiversity value. Agricultural and urban areas in northern and southern Idaho are designated least resilient, less connected, and of less significance in terms of biodiversity value. Areas of biodiversity value within Idaho do not always overlap areas of climate resilience, which means adaptation options will help support and facilitate continued biodiversity. Most ecosystems are addressed elsewhere in the assessment; here we cover alpine ecosystems (i.e., locations above treeline). Climate change is expected to facilitate upward movement of treeline, thereby reducing alpine area. Some evidence for this upslope movement exists, but in some areas, movement is slower than predicted. Many Idaho species are covered in other assessment reports. This supplemental report focuses on significant species that may be impacted by climate change. Multiple plant and animal species, including those important to tribal communities, are expected to be impacted by climate",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855400001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679342801851
Forests Snapshot,,2021,Land,"This snapshot examines the impact of climate change on Idaho's forests, emphasizing increased risks of wildfires, insect outbreaks, and economic contributions from timber and recreation.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855950001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679345001851
Forests Technical Report,"Hicke, Jeffrey; Latta, Greg",2021,Land,"The forests of Idaho have long played a fundamental role for inhabitants. They have provided shelter; sustenance; jobs in silviculture, logging, and manufacturing; the land base upon which homes and structures have been built; and areas for hunting and recreation. Decades of wildfire suppression coupled with federal forest policy changes in the 1990s have created forest conditions susceptible to increased risk of wildfire, insects, and disease, exacerbated by an increasingly warm and dry climate. The increased risks, and various ownerships' responses to increased risk, have important impacts on the state's forest resources and economy. To understand the potential economic risks to Idaho forests from climate change, it is necessary to understand the underlying resource base and ownership structure. This report first takes a brief look at the forest land base and resource characteristics, and how they have changed in the recent past. It then presents the contributions to Idaho's economy through timber harvesting and forest products manufacturing. After that, the report identifies how forests are affected by climate change, and provides an overview of studies that explore climate change impacts. The final section lays out mitigation and adaption options.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315856070001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679344701851
Recreation & Tourism Snapshot,,2021,Recreation and Tourism,"Idaho is well-known for its outdoor recreational areas and activities. Over 100,000 Idahoans work in industries related to recreation and tourism. Tourism adds $3.7 billion annually to Idaho's economy, and provides roughly $475 million annually in tax revenues. While Idaho is home to abundant outdoor experiences, changes in climate put the outdoor recreational economy at risk for shorter seasons and closures.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854960001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648901851
Recreation & Tourism Technical Report,"Maas, Alexander; Himes, Katherine",2021,Recreation and Tourism,"Idaho has a substantial and growing tourism sector, largely based on the outdoor recreation opportunities provided by land, lakes, and rivers. Climate change is likely to influence the economic risks and opportunities this sector experiences and affect the overall wellbeing of Idahoans who engage in recreation and tourism.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855300001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343201851
Smoke Snapshot,,2021,Smoke,"This report examines the extensive impacts of wildfire smoke on Idaho's economy, infrastructure, agriculture, energy, and public health, predicting significant increases in smoke-related issues by 2050.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854820001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679648801851
Smoke Report: Air Quality and Wildfire Smoke in Idaho,"Sadegh, Mojtaba; Abatzoglou, John; Modaresi Rad, Arash; Montrose, Luke",2021,Smoke,"There are two main mechanisms that govern poor air quality in Idaho: (1) in cold months, air stagnation and inversions concentrate local air pollutants within valleys and close to the ground and pose significant health challenges to Idahoans and (2) in warm months, wildfires in Idaho and across the western U.S. emit huge quantities of pollutants that dwarf all other sources of pollutants (Idaho Department of Environmental Quality (IDEQ), 2020). Air quality has generally improved across Idaho over the past several decades, except for episodes of wildfire smoke that blanket large portions of the Gem State during warm temperature seasons. Wildfire smoke is a growing hazard for wildfire-prone regions like Idaho.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854840001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343801851
Water Technical Report,"Humes, Karen; Walters, Riveraine; Ryu, Jae; Mahler, Robert; Woodruff, Craig",2021,Water,"This report is divided into seven sections. Section 1 provides an overview of water resources in Idaho. Section 2 discusses how changes in climate impact water resources. Section 3 explores observed and forecasted changes in streamflow. Section 4 dives into drought, floods, and water storage. Section 5 looks at climate impacts on water quality. Section 6 notes interacting influences of other factors in water use, both present and future. Finally, Section 7 provides a synthesis and summary of the research presented in this report.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315854980001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679649001851
Water Snapshot,,2021,Water,"Idaho's mountains accumulate snowpack in the winter months, which feeds Idaho's watersheds in the spring and summer months. The gradual melting and runoff during the spring and summer provide streamflow and replenish groundwater for the warmer, drier months. Several major aquifers in Idaho provide significant storage of groundwater. These groundwater resources are vital to the water supply for food production and processing, as well as commercial, household, industrial, and municipal needs. As changes in climate increase, the pattern of water availability for Idaho's economy also will change.",Idaho Climate-Economy Impacts Assessment,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Idaho Climate-Economy Impacts Assessment,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855020001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343901851
"Honoring Louise McClure, October 2021 Newsletter",,2021,,Newsletter that was originally posted on the McClure Center website.,Newsletter,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",Newsletter,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13315855040001851&download=true,https://verso.uidaho.edu/esploro/outputs/996679343701851
