objectid,title,author,reader,creator type,date,subject,description,location,lat long,grade-level,identifier,format,digital specifications,language,rights,standardized rights,type,contributing institution,date created,date modified,reference url,cdmid,soundid,soundlink,contentdm file name,contentdm file path
guidedread194,Energy (Audio),"Merritt, Kelsy",Isla Rosewood,Teacher,2014,,Audio recording of a Fifth grade level informational text about energy.,,,Fifth,Energy,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/194,194,,,195.mp3,/guidedread/image/195.mp3
guidedread440,Exploring Spain,Kate Wold,Adrienne Vitullo,Student,2017,Spain; Spanish,informational text about Spain,,,third,Exploring_Spain,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/440,440,882,276.mp3,474.cpd,/guidedread/supp/440/index.pdf
guidedread882,Exploring Spain,Kate Wold,Adrienne Vitullo,Student,2017,Spain; Spanish,informational text about Spain,,,third,Exploring_Spain,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/882,882,,,276.mp3,/guidedread/image/276.mp3
guidedread461,Faith Ringgold,Jacklyn Himmelberger,Adrienne Vitullo,Student,2017,Faith Ringgold; author; illustrator; artist,informational text about Faith Ringgold,,,fifth,FaithRinggold,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/461,461,891,285.mp3,495.cpd,/guidedread/supp/461/index.pdf
guidedread891,Faith Ringgold,Jacklyn Himmelberger,Adrienne Vitullo,Student,2017,Faith Ringgold; author; illustrator; artist,informational text about Faith Ringgold,,,fifth,FaithRinggold,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/891,891,,,285.mp3,/guidedread/image/285.mp3
guidedread160,Farm Animals,"Allen, Michaela",Isla Rosewood,Teacher,2014,,First grade level informational text about farm animals.,,,First,FarmAnimals,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/160,160,187,188.mp3,161.pdf,/guidedread/image/161.pdf
guidedread187,Farm Animals (Audio),"Allen, Michaela",Isla Rosewood,Teacher,2014,,Audio recording of a First grade level informational text about farm animals.,,,First,FarmAnimals,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/187,187,,,188.mp3,/guidedread/image/188.mp3
guidedread477,Food Chains,Shelby Bergren,Adrienne Vitullo,Student,2017,Food chains; consumer; producer,informational text about food chains,,,second,FoodChains,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/477,477,883,277.mp3,511.cpd,/guidedread/supp/477/index.pdf
guidedread883,Food Chains,Shelby Bergren,Adrienne Vitullo,Student,2017,Food chains; consumer; producer,informational text about food chains,,,second,FoodChains,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/883,883,,,277.mp3,/guidedread/image/277.mp3
guidedread491,Freedom to Read: All You Need to Know About Banned Books,Maria Haase,none,Student,2017,banned books; censorship,informational text about banned books,,,third,BannedBooks,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/491,491,897,291.mp3,525.cpd,/guidedread/supp/491/index.pdf
guidedread897,Freedom to Read: All You Need to Know About Banned Books,Maria Haase,Adrienne Vitullo,Student,2017,banned books; censorship,informational text about banned books,,,third,BannedBooks,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/897,897,,,291.mp3,/guidedread/image/291.mp3
guidedread507,George Washington,Kaitlin Bode,Adrienne Vitullo,Student,2017,George Washington; president; America,informational text about George Washington,,,second,GeorgeWashington,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/507,507,884,278.mp3,541.cpd,/guidedread/supp/507/index.pdf
guidedread884,George Washington,Kaitlin Bode,Adrienne Vitullo,Student,2017,George Washington; president; America,informational text about George Washington,,,second,GeorgeWashington,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/884,884,,,278.mp3,/guidedread/image/278.mp3
guidedread164,Goldfish,"Nichols, Hannah",Isla Rosewood,Teacher,2014,,Third grade level informational text about goldfish.,,,Third,goldfish,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/164,164,190,191.mp3,165.pdf,/guidedread/image/165.pdf
guidedread190,Goldfish (Audio),"Nichols, Hannah",Isla Rosewood,Teacher,2014,,Audio recording of a Third grade level informational text about goldfish.,,,Third,goldfish,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/190,190,,,191.mp3,/guidedread/image/191.mp3
guidedread144,Gorillas,"Miller, Kerstyn",none,Teacher,2014,gorillas; habitat; language,Second-grade level informational text about gorillas,,,Second,gorillas,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2014-11-11,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/144,144,nullo,,145.pdf,/guidedread/image/145.pdf
guidedread256,Harry Houdini,"Cowperthwaite, Molly",none,Teacher,2016,,informational text about Harry Houdini,,,,Houdini,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/256,256,nullo,,257.pdf,/guidedread/image/257.pdf
guidedread234,"Harvest: Yesterday, Today, Tomorrow","Leahy, Garrett",Adrienne Vitullo,Teacher,2016,harvest; farm; wheat; farmer,informational text about wheat harvesting,,,fifth,Harvest,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/234,234,236,237.mp3,235.pdf,/guidedread/image/235.pdf
guidedread236,"Harvest: Yesterday, Today, Tomorrow (Audio)","Leahy, Garrett",Adrienne Vitullo,Teacher,2016,harvest; farm; wheat; farmer,informational text about wheat harvesting,,,fifth,Harvest,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/236,236,,,237.mp3,/guidedread/image/237.mp3
guidedread163,Holidays,"Blake, Caszie",Isla Rosewood,Teacher,2014,,Third grade level informational text about holidays.,,,Third,SwedishWinterHolidays,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/163,163,200,201.mp3,164.pdf,/guidedread/image/164.pdf
guidedread200,Holidays (Audio),"Blake, Caszie",Isla Rosewood,Teacher,2014,,Audio recording of a Third grade level informational text about holidays.,,,Third,SwedishWinterHolidays,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-03-17,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/200,200,?,,201.mp3,/guidedread/image/201.mp3
guidedread247,Honeybee,"Bovey, McKenzie",Adrienne Vitullo,Teacher,2016,honey; bees; pollination,informational text about honeybees,,,second,Honeybees,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/247,247,248,249.mp3,248.pdf,/guidedread/image/248.pdf
guidedread248,Honeybee (Audio),"Bovey, McKenzie",Adrienne Vitullo,Teacher,2016,honey; bees; pollination,informational text about honeybees,,,second,Honeybees,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/248,248,,,249.mp3,/guidedread/image/249.mp3
guidedread524,How to Adopt a Cat,Juliana Pyle,Adrienne Vitullo,Student,2017,cats; adoption,informational text about adopting a cat,,,third,Cats,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/524,524,875,269.mp3,558.cpd,/guidedread/supp/524/index.pdf
guidedread875,How to Adopt a Cat,Juliana Pyle,Adrienne Vitullo,Student,2017,cats; adoption,informational text about adopting a cat,,,third,Cats,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/875,875,,,269.mp3,/guidedread/image/269.mp3
guidedread176,How to Care for Fire Belly Toads,"Carlson, Bri",Isla Rosewood,Teacher,2014,,First  grade level informational text about toads.,,,First,HowtoCareforFireBelliedToads,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/176,176,192,193.mp3,177.pdf,/guidedread/image/177.pdf
guidedread192,How to Care for Fire Belly Toads (Audio),"Carlson, Bri",Isla Rosewood,Teacher,2014,,Audio recording of a First grade level informational text about toads.,,,First,HowtoCareforFireBelliedToads,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/192,192,,,193.mp3,/guidedread/image/193.mp3
guidedread544,How to go Backpacking,Alyssa Lloyd,Adrienne Vitullo,Student,2017,backpacking; wilderness,Informational text about backpacking,,,third,Backpacking,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/544,544,874,268.mp3,578.cpd,/guidedread/supp/544/index.pdf
guidedread874,How to go Backpacking,Alyssa Lloyd,Adrienne Vitullo,Student,2017,backpacking; wilderness,Informational text about backpacking,,,third,Backpacking,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/874,874,,,268.mp3,/guidedread/image/268.mp3
guidedread570,How to Make a Caramel Latte,Savhanna Korver,Adrienne Vitullo,Student,2017,coffee; espresso,informational text about caramel lattes,,,third,Caramel_Latte,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/570,570,877,271.mp3,604.cpd,/guidedread/supp/570/index.pdf
guidedread877,How to Make a Caramel Latte,Savhanna Korver,Adrienne Vitullo,Student,2017,coffee; espresso,informational text about caramel lattes,,,third,Caramel_Latte,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/877,877,,,271.mp3,/guidedread/image/271.mp3
guidedread587,How to Make a Peanut Butter and Jelly Sandwich,RayLynn Smith,Adrienne Vitullo,Student,2017,Peanut Butter; Jelly; sandwiches,informational text about Peanut Butter and Jelly sandwiches,,,third,PBJ,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/587,587,899,293.mp3,621.cpd,/guidedread/supp/587/index.pdf
guidedread899,How to Make a Peanut Butter and Jelly Sandwich,RayLynn Smith,Adrienne Vitullo,Student,2017,Peanut Butter; Jelly; sandwiches,informational text about Peanut Butter and Jelly sandwiches,,,third,PBJ,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/899,899,,,293.mp3,/guidedread/image/293.mp3
guidedread224,How To Pack A Parachute,"Turco, Spyder",Adrienne Vitullo,Teacher,2016,parachutes; adventure; airplanes,informational text about using parachutes,,,fourth,Parachute,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/224,224,226,227.mp3,225.pdf,/guidedread/image/225.pdf
guidedread226,How To Pack A Parachute (Audio),"Turco, Spyder",Adrienne Vitullo,Teacher,2016,parachutes; adventure; airplanes,informational text about using parachutes,,,fourth,Parachute,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/226,226,,,227.mp3,/guidedread/image/227.mp3
guidedread165,Idaho,"Patient, Whitney",Isla Rosewood,Teacher,2014,,Kindergarten grade level informational text about Idaho.,,,Kindergarten,Idaho,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/165,165,195,196.mp3,166.pdf,/guidedread/image/166.pdf
guidedread195,Idaho (Audio),"Patient, Whitney",Isla Rosewood,Teacher,2014,,Audio recording of a Kindergarten grade level informational text about Idaho.,,,Kindergarten,Idaho,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/195,195,,,196.mp3,/guidedread/image/196.mp3
guidedread249,Idaho Fur Trappers,"Heath, Wayne",Adrienne Vitullo,Teacher,2016,Idaho; hunting; fur; state history,informational text about fur trapping in Idaho,,,fourth,Idaho_Fur_Trappers,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/249,249,250,251.mp3,250.pdf,/guidedread/image/250.pdf
guidedread250,Idaho Fur Trappers (Audio),"Heath, Wayne",Adrienne Vitullo,Teacher,2016,Idaho; hunting; fur; state history,informational text about fur trapping in Idaho,,,fourth,Idaho_Fur_Trappers,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/250,250,,,251.mp3,/guidedread/image/251.mp3
guidedread603,Italy,Brook Sprenger,Adrienne Vitullo,Student,2017,Italy; geography; economy; culture,informational text about Italy,,,third,Italy,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/603,603,890,284.mp3,637.cpd,/guidedread/supp/603/index.pdf
guidedread890,Italy,Brook Sprenger,Adrienne Vitullo,Student,2017,Italy; geography; economy; culture,informational text about Italy,,,third,Italy,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/890,890,,,284.mp3,/guidedread/image/284.mp3
guidedread166,Japan,"Saito, Ai",Isla Rosewood,Teacher,2014,,First grade level informational text about Japan.,,,First,Japan,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/166,166,180,181.mp3,167.pdf,/guidedread/image/167.pdf
guidedread180,Japan (Audio),"Saito, Ai",Isla Rosewood,Teacher,2014,,Audio recording of a Firs  grade level informational text about Japan.,,,First,Japan,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/180,180,,,181.mp3,/guidedread/image/181.mp3
guidedread167,Labrador Retrievers,"Fowers, Brooke",Isla Rosewood,Teacher,2014,,First grade level informational text about dogs .,,,First,LabradorRetrievers,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/167,167,184,185.mp3,168.pdf,/guidedread/image/168.pdf
