title,description,creator,recipient,date,date-is-approximate?,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
The Biography of Every God Is an Epic,"Published in the New York Times Book Review, article provides a synopsis for A. Eustace Haydon's book, Biography of the Gods, which discusses the roots of divine figures and their epics in man's age-long aspirations and social needs.",,,1941-11-16,,single-page; book reviews,Origin of God; A. Eustace Hayden; Doctrine Parallels,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Clippings'",MG101_b6_miscellaneous_clippings_22,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/711,711,438.pdf,/psychiana/image/438.pdf,psychiana711,pdf,psychiana711.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana711.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana711_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana711_th.jpg,""
Frank B. Robinson standing in front of his  Duesenberg convertible coupe,Newspaper clipping of a photograph of Frank B. Robinson standing in front of his Duesenberg Convertible Coupe.,,,1935,yes,single-page; photographs,Duesenberg Convertible Coupe,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Clippings'",MG101_b6_miscellaneous_clippings_16,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/712,712,439.pdf,/psychiana/image/439.pdf,psychiana712,pdf,psychiana712.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana712.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana712_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana712_th.jpg,""
List of contributors who donated money to send Mary Louis Hunter to the World's Fair in Chicago,"List includes various names and amounts of people who contributed money to send Mary Louis Hunter to the World's Fair, along with a list of expenses including railway fares, Pullman tickets, Coupons for tour trip, and Person expenses.",,,1933,yes,single-page; documents,World's Fair; Donations,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Clippings'",MG101_b6_miscellaneous_clippings_23,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/713,713,440.pdf,/psychiana/image/440.pdf,psychiana713,pdf,psychiana713.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana713.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana713_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana713_th.jpg,""
Various inspirational poems and quotes,"Clippings include various poems and quotes relating to religion, spirituality, faith, keeping one's composure, and lifting one's mood in times of despair.",,,1946,yes,multiple-page; clippings,Inspiration; Poetry,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Clippings'",MG101_b6_miscellaneous_clippings_24,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/714,714,441.pdf,/psychiana/image/441.pdf,psychiana714,pdf,psychiana714.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana714.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana714_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana714_th.jpg,""
Negative photograph of Frank B. Robinson's books The Pathway to God and Blood on the Trail of a Pig,"Negative includes photographs of Frank B. Robinson's books, The Pathway to God and Blood on the Tail of a Pig, the latter having a cover with a  drawing of a truck driving away on a dirt road.","Robinson, Frank B.",,1943,yes,single-page; negatives,Robinson's Books,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/715,715,442.jp2,/psychiana/image/442.jp2,psychiana715,image,psychiana715.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana715.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana715_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana715_th.jpg,""
"Negative photograph of Frank B. Robinson's pamphlet 'For Rent, A Cross'",Negative photograph of book cover of Frank B. Robinson's book with a cross and sign reading 'FOR RENT' nailed to the front and the quote 'Presenting an Entirely New God to the World' at the  bottom.,"Robinson, Frank B.",,1941,yes,single-page; negatives,Robinson's Writings,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/716,716,443.jp2,/psychiana/image/443.jp2,psychiana716,image,psychiana716.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana716.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana716_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana716_th.jpg,""
Negative photograph of Frank B. Robinson's book Gems of Spiritual Truth,Negative photograph of the cover of Frank B. Robinson's book in hardback with only the text 'Gems of Spiritual Truth' with each letter pronounced in sunken relief.,"Robinson, Frank B.",,1947,yes,single-page; negatives,Robinson's Books,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/717,717,444.jp2,/psychiana/image/444.jp2,psychiana717,image,psychiana717.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana717.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana717_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana717_th.jpg,""
Negative photograph of Frank B. Robinson's book The God Nobody Knows,Negative photograph of the cover and spine of Frank B. Robinson's book The God Nobody Knows. The cover includes  a drawing of a wooden sign in the ground that reads the book's title.,"Robinson, Frank B.",,1930,yes,single-page; negatives,Robinson's Books,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/718,718,445.jp2,/psychiana/image/445.jp2,psychiana718,image,psychiana718.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana718.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana718_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana718_th.jpg,""
Negative photograph of Frank B. Robinson's pamphlets 'Shall We Know Each Other beyond the Tomb?' and 'Is the Story of Jesus Christ Fact or Fiction?',"Negative photograph of two pamphlets authored by Frank B. Robinson. Both covers have the title, author, price, copyright information, and the press/publishing company listed as Psychiana, Inc.","Robinson, Frank B.",,1935,yes,single-page; negatives,Robinson's Writings,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/719,719,446.jp2,/psychiana/image/446.jp2,psychiana719,image,psychiana719.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana719.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana719_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana719_th.jpg,""
Negative photograph of Frank B. Robinson's book A Prophet Speaks and Marcus Bach's book They Have Found a Faith,"Negative photograph of Frank B. Robinson's book A Prophet Speaks, published by Psychiana, Inc., side by side with Marcus Bach's book They Have Found a Faith, which includes the word 'Psychiana' on the cover along with many other young religions.","Robinson, Frank B.",,1943,,single-page; negatives,Robinson's Books; Marcus Bach,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/720,720,447.jp2,/psychiana/image/447.jp2,psychiana720,image,psychiana720.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana720.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana720_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana720_th.jpg,""
Negative photograph of Frank B. Robinson's autobiography and book entitled Through War to God,"Negative photograph of Frank B. Robinson's autobiography, The Strange Autobiography of Frank B. Robinson, alongside his book, Through War to God. Both covers include a portrait photograph of Robinson.","Robinson, Frank B.",,1951,yes,single-page; negatives,Robinson's Books; Portraits,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/721,721,448.jp2,/psychiana/image/448.jp2,psychiana721,image,psychiana721.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana721.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana721_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana721_th.jpg,""
Negative photograph of Frank B. Robinson's books Ye Men of Athens and The Wanderer,"Negative photograph of the covers of Frank B. Robinson's books Ye Men of Athens, which depicts an Ancient Greek building, statue, and column, and The Wanderer, which includes text only. Both published by Psychiana, Inc.","Robinson, Frank B.",,1947,yes,single-page; negatives,Robinson's Books,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/722,722,449.jp2,/psychiana/image/449.jp2,psychiana722,image,psychiana722.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana722.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana722_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana722_th.jpg,""
"Journal of the American Society for Psychical Research, Vol. XXVII, No. 5., May, 1933","Journal includes articles for the 'psychic researcher', including articles on philosophical ideas and notes from the editor as well as poems and columns of sayings and advice.",,,1933-05-01,,multiple-page; journals,Inspiration; Research; Poetry,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Clippings'",MG101_b6_miscellaneous_clippings_17,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/723,723,450.pdf,/psychiana/image/450.pdf,psychiana723,pdf,psychiana723.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana723.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana723_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana723_th.jpg,""
"Negative photograph of Frank B. Robinson's book Your God-Power, with 20 Lessons in How to Find and Use It.","Negative photograph of the cover of Frank B. Robinson's book Your God-Power, which includes only the text of the title and the author's name and credentials.","Robinson, Frank B.",,1943,yes,single-page; negatives,Robinson's Books; God-Power,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/724,724,451.jp2,/psychiana/image/451.jp2,psychiana724,image,psychiana724.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana724.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana724_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana724_th.jpg,""
Negative photograph of several copies of the June 1948 edition of the 'The Way: A Quarterly Publication of the Psychiana Religion.',"Negative photograph of the covers of The Way that include rays of light moving to a point behind a picture of mountains, a mountain lake, and clouds.","Robinson, Frank B.",,1948,yes,single-page; negatives,Robinson's Writings; Psychiana Journal,The Way Magazine,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/725,725,452.jp2,/psychiana/image/452.jp2,psychiana725,image,psychiana725.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana725.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana725_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana725_th.jpg,""
"Negative photograph of Frank B. Robinson's pamphlet, 'What God Really Is,' and B.E. Bentley's book A Drunk and 5,000 Roses.","Negative photograph of the cover of Frank B. Robinson's pamphlet What God Really Is, which includes only text of the title, author name, price, and publishing press Psychiana, Inc. The pamphlet appears side by side with the cover of B.E. Bentley's hardback book, which includes text and the picture of a flower.","Robinson, Frank B.",,1935,yes,single-page; negatives,Robinson's Writings; B.E. Bentley,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Negatives'",MG101_b6_f7_Miscellanious_Negatives_013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/726,726,453.jp2,/psychiana/image/453.jp2,psychiana726,image,psychiana726.jpg,https://objects.lib.uidaho.edu/psychiana/psychiana726.jpg,https://objects.lib.uidaho.edu/psychiana/small/psychiana726_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana726_th.jpg,""
Letter from initials 'JLK' to Frank B. Robinson,"Letter details 'JLK's' actions on August 31, 1946 as well as musings about Russia and Turkey, war, greed, and other topics. Also includes of list of words defined objectively, 'prophecies', and several drawings and doodles done by hand.",,,1946-08-31,,multiple-page; letters,Letters; Russia; Prophecies,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 6, Folder - 'Miscellaneous Clippings'",MG101_b6_miscellaneous_clippings_18,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/727,727,454.pdf,/psychiana/image/454.pdf,psychiana727,pdf,psychiana727.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana727.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana727_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana727_th.jpg,""
Psychiana (The New Psychological Religion) - Lesson No. 1 with Special Instructions to Our Students,"First lesson mailed to students of Psychiana includes an introduction to teachings and asks readers not to question what Robinson says, establishing roles of 'teacher' and 'student.' Robinson also asks readers to dispel any notion of a 'subconscious mind' in lieu of some other force. Robinson instructs readers about quiet meditation, mantras, and other practices.","Robinson, Frank B.",,1932,yes,multiple-page; lessons,,Subconscious Mind; Quiet Meditation; New Psychology; Subconscious Mind; Psychiana Affirmations,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 4, Folder 1",MG101_B4_F1_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/728,728,455.pdf,/psychiana/image/455.pdf,psychiana728,pdf,psychiana728.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana728.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana728_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana728_th.jpg,""
Psychiana (The New Psychological Religion) - Lesson No. 2 - The Story of Creation,"Lesson discusses relationship between science and the Bible as they pertain to the story of creation. Robinson claims science and the Bible are not in opposition, but 'corroborate' or 'dovetail' each other. He discusses interpretation, and eventually creates a hierarchy of science over religion when the two clash (i.e. is it possible that the world was truly created in 6 days?).","Robinson, Frank B.",,1932,yes,multiple-page; lessons,,Creation Stories; Science and Technology; Bible,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 4, Folder 1",MG101_B4_F1_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/729,729,456.pdf,/psychiana/image/456.pdf,psychiana729,pdf,psychiana729.pdf,https://objects.lib.uidaho.edu/psychiana/psychiana729.pdf,https://objects.lib.uidaho.edu/psychiana/small/psychiana729_sm.jpg,https://objects.lib.uidaho.edu/psychiana/thumbs/psychiana729_th.jpg,""
