objectid,title,title_alt,date,creator,description,subject,category,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb,notes
ng_022,Root Respiration,Root Respiration,,,"All root respiration data are specific respiration rates expressed in nmol/g/s.  From 1994 through 1997, values are for oxygen consumption in nmol O2/g/s.  From 1998 through 2009, values are for CO2 production in nmol CO2/g/s.   Treatment codes are 0 = control;  1 = NO3 additions at 3 g N/m2/y 

Other data fields contained in the worksheets include:  study site; plot; date of measurement;  treatment (0 = control;  1 = NO3 addition at 3 g N/m2/y); measurement temperature (deg C); soil temperature at the time of respiration measurement (deg C); soil matric potential at the time of respiration measurement (MPa); root N concentration (g/kg); root C concentration (g/kg); diameter class of root sample (mm); and soil depth from which root sample was obtained (cm). 

Worksheet:  SurfaceRootResp, C, N  1994-1997.  From 1994 through 1997, specific root respiration rates for surface (0-10 cm soil depth) fine roots (< 1 mm diameter) were determined as oxygen consumption in nmol O2/g/s.  Respiration rates of excised roots were measured over a 35-min period with a gas-phase, oxygen electrode (Model LD2-2, Hansatech Ltd., Norfolk, England); all measurements were completed within 3 h of collection.  Roots were collected using three 5 cm diameter by 10 cm deep soil cores.  Samples were collected from beneath the litter layer and contained the forest floor (Oe+Oa, 1-3 cm thick) and the mineral soil to a total depth of 10 cm.  Roots were had sorted from the cores, rinsed free of adhering sol and organic material, and then analyzed for specific respiration.  Further methodological details can be found in Zogg et al. 1996 (Tree Physiology 16:719-725), Burton et al. 1996 (Canadian Journal of Forest Research 26:1761-1768) and Burton et al. 1998 (Ecological Applications 8:771-778). 

Worksheet:  RootResp, C, N by Depth 1996.  In late August 1996, specific root respiration rates at 24 deg C were deterimined at Sites A and B by soil depth (0-10, 20-30, and 40-50 cm) and root diameter class (<0.5, 0.5-1, 1-2, 2-10 mm).  Samples were collected by depth increment using four 5 cm diameter soil cores per plot, with excised roots processed and analyzed as described above for the 1994 through 1997 period.  Further methodological details can be found in Pregitzer et al. 1998 (Tree Physiology 18:665-670).  

Worksheet:  SurfaceRootResp, C, N  1998-2009  From 1998 through 2009, specific root respiration rates for surface (0-10 cm soil depth) fine roots (< 1 mm diameter) were determined as CO2 production in nmol CO2/g/s. Samples for field measurements of surface fine root respiration consisted of a bulked sample of fine roots (≤ 1 mm diameter) collected from the top 10 cm of organic matter and mineral soil at three to four locations within each plot. Roots were had sorted from the cores, rinsed free of adhering sol and organic material, and then analyzed for specific respiration.  Total root processing time was about 15 min, and samples (about 2–4 g fresh weight) were immediately placed in a respiration cuvette attached to an infrared gas analyzer (IRGA, CIRAS-I portable gas analyzer, PP Systems, Haverhill, MA). The IRGA and cuvette were configured in an open system.  Roots were maintained at field soil temperature during measurements.  Steady respiration rates were achieved within 15 min after placing a sample in the cuvette.  Further methodological details can be found in Burton et al. 2003 (Tree Physiology 23:273-280). 

Worksheet:  RootResp, C, N by Depth 2009.  In late July and early August 2009, specific root respiration rates at 18 deg C were deterimined in the field at all study sites by soil depth (0-10, 10-30, and 30-50 cm) and root diameter class (<0.5, 0.5-1, 1-2, 2-10 mm).  Samples were collected by depth increment using four 10 cm diameter soil cores per plot, with excised roots processed and analyzed as described above for the 1998 through 2009 period.  Further methodological details can be found in Burton et al. 2012 (Global Change Biology 18:258-266).  

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,"1994-2003, 2009",Various,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/RootRespiration1994-2009.xls,rootrespiration1994-2009.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/rootrespiration1994-2009.xls,,,
ng_023,Root Biomass,Root Biomass,,,"All root biomass data is expressed in g/m2.  Treatment codes are 0 = control;  1 = NO3 additions at 3 g N/m2/y

In May 1994, June 1996, September 2000, and August 2001, samples for root biomass were obtained using eight to ten soil cores (5 cm diameter, 25 cm deep) were collected from each plot at each site. Roots were sorted from the cores by hand, with live roots placed into one of five diameter classes: <0.5, 0.5-1,1-2, 2-5, and 5-10 mm. Root mass was determined after oven drying for 48 h at 70 deg C. The residual soil from one third of the cores was elutriated (Hydropneumatic Root Washer, Gillison's Variety Fabrication, Benzonia, MI, USA) to capture very fine (<0.5) roots that were missed by hand sorting. 

For the 1994 to 2001 data, RB05 is root biomass for < 0.5 mm roots, RB0510 is biomass for 0.5-10. mm roots, RB0510 is biomass for 0.5-10. mm roots, RB1020 is biomass for 1.0-2.0 mm roots, RB2050 is biomass for 2.0-5.0 mm roots, RB05100 is biomass for 5-10 mm roots, RBLT10 is biomass for all roots < 1.0 mm, RBLT20 is biomass for all roots < 2.0 mm, RBLT100 is biomass for all roots < 10.0 mm. 

In August 2004 and August 2009, samples for root biomass were obtained using three to four cores (10 cm diameter, 70 cm deep with increments from 0-10, 10-30, 30-50 and 50-70 cm) were collected from each plot at each site. Roots were sorted from the cores by hand, with live roots placed into one of five diameter classes: <0.5, 0.5-1,1-2, 2-5, and 5-10 mm. Root mass was determined after oven drying for 48 h at 70 deg C. The residual soil from one third of the cores was elutriated (Hydropneumatic Root Washer, Gillison's Variety Fabrication, Benzonia, MI, USA) to capture very fine (<0.5) roots that were missed by hand sorting. 

For the 2004 and 2009 data, depth classes are in cm below the litter layer, root diameter classes are in mm, and root biomass is in g/m2.   The 0-10 cm depth class includes roots in the forest floor (Oe and Oa layers).  

References are Burton et al. 2004 (Global Change Biology 10, 1080–1091) for the 1994-2001 data and Burton et al. 2012 (Global Change Biology 18, 258–266) for the 2004 and 2009 data.  

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,"1994, 1996, 2000, 2001, 2009",Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/RootBiomass1994-2009.xls,rootbiomass1994-2009.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/rootbiomass1994-2009.xls,,,
ng_img_001,Site A control plot,,2015-08,,"Seedling groundcover layer at site A in August, 2015 control plot.",,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/IMG_2046.jpg,img_2046.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/img_2046.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/img_2046_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/img_2046_th.jpg,
ng_img_002,Site A treatment plot,,2015-08,,"Seedling groundcover layer at site A in August, 2015 in a treatment plot that has received 30 kg N ha-1 yr-1 since 1994.",,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/IMG_2038.jpg,img_2038.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/img_2038.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/img_2038_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/img_2038_th.jpg,
ng_img_003,Site A comparison,,2015-08,,"The seedling groundcover layer at site A in a control plot (left) and in an N addition plot (right) in August, 2015. The N addition plot has received 30 kg N ha-1 yr-1 since 1994.",,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/IMG_2045.jpg,img_2045.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/img_2045.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/img_2045_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/img_2045_th.jpg,
ng_img_004,Global Change Institute,,2008,,Global Change Institute 2008 & Dr. Andy Burton,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_Teachers1_Large.jpg,aburton_teachers1_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_teachers1_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_teachers1_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_teachers1_large_th.jpg,
ng_img_005,Global Change Institute,,2008,,Global Change Institute 2008 & Dr. Andy Burton,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_Teachers2_Large.jpg,aburton_teachers2_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_teachers2_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_teachers2_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_teachers2_large_th.jpg,
ng_img_006,Control plot,,,,Control Plot Forest Floor at Site A,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Albt_Control_Plot_Forest_Floor.JPG,albt_control_plot_forest_floor.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/albt_control_plot_forest_floor.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/albt_control_plot_forest_floor_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/albt_control_plot_forest_floor_th.jpg,
ng_img_007,Treatment plot,,,,Treatment Plot Forest Floor at Site A,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Albt_Treatment_Plot_ Forest_Floor.JPG,albt_treatment_plot_ forest_floor.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/albt_treatment_plot_ forest_floor.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/albt_treatment_plot_ forest_floor_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/albt_treatment_plot_ forest_floor_th.jpg,
ng_img_008,Litter trap,,,,,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Gradient_LitterTrap1_Large.jpg,gradient_littertrap1_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/gradient_littertrap1_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/gradient_littertrap1_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/gradient_littertrap1_large_th.jpg,
ng_img_009,Canopy tower,,,,Canopy Tower at Site B,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Tower Pics/_DSC9882.JPG,dsc9882.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/dsc9882.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/dsc9882_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/dsc9882_th.jpg,
ng_img_010,Temperature Datalogger,,,,Dr. Andy Burton Downloading Air & Soil Temperature Data,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_DataLogger_Large.jpg,aburton_datalogger_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_datalogger_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_datalogger_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_datalogger_large_th.jpg,
ng_img_011,Climbing the Forest Canopy Tower at Site B,,,,"Dr. Alan Talhelm Climbing the Forest Canopy Tower at Site B, photosynthesis measurement.",,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Tower Pics/_DSC9496.JPG,dsc9496.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/dsc9496.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/dsc9496_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/dsc9496_th.jpg,
ng_img_012,Measuring soil respiration,,,,Dr. Andy Burton Measuring Soil Respiration,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/ABurton_Soil_Respiration2_Large.jpg,aburton_soil_respiration2_large.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/aburton_soil_respiration2_large.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/aburton_soil_respiration2_large_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/aburton_soil_respiration2_large_th.jpg,
ng_img_013,Measuring Photosynthesis,,,,Undergraduate Researcher Hazen Kazaks Measuring Photosynthesis,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/HKazaks_seedling_photosynthesis1.JPG,hkazaks_seedling_photosynthesis1.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/hkazaks_seedling_photosynthesis1.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/hkazaks_seedling_photosynthesis1_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/hkazaks_seedling_photosynthesis1_th.jpg,
ng_img_014,Fall Forest Floor,,,,,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/Fall_forest_floor.jpg,fall_forest_floor.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/fall_forest_floor.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/fall_forest_floor_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/fall_forest_floor_th.jpg,
ng_img_015,Fall Forest Canopy at Site B,,,,,,Photograph,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Image;StillImage,image/jpeg,,,https://webpages.uidaho.edu/nitrogen-gradient/Images/October_canopy_view2.JPG,october_canopy_view2.jpg,image,https://objects.lib.uidaho.edu/nitrogen-gradient/october_canopy_view2.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/small/october_canopy_view2_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/october_canopy_view2_th.jpg,
ng_pub_001,Long-Term Simulated Atmospheric Nitrogen Deposition Alters Leaf and Fine Root Decomposition,,2017,"Xia, M., A. F. Talhelm, and K. S. Pregitzer",,,Article,,,,"Ecosystems 21, 1–14 (2018). https://doi.org/10.1007/s10021-017-0130-3",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia 2017a.pdf,xia_2017a.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/xia_2017a.pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/small/xia_2017a_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/xia_2017a_th.jpg,
ng_pub_002,Chronic nitrogen deposition influences the chemical dynamics of leaf litter and fine roots during decomposition,,2017,"Xia, M., A. F. Talhelm, and K. S. Pregitzer",,,Article,,,,"Soil Biology and Biochemistry, Volume 112, 2017, DOI:10.1016/j.soilbio.2017.04.011",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia 2017b.pdf,xia_2017b.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/xia_2017b.pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/small/xia_2017b_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/xia_2017b_th.jpg,
ng_pub_003,Anthropogenic N deposition increases soil organic matter accumulation without altering its biochemical composition,,2017,"Zak, D.R., Z.B. Freedman, R.A. Upchurch, M. Steffens, and I. Kögel-Knabner",,,Article,,,,"Global Change Biology, Volume 23, Issue 2, 2016, DOI:10.1111/gcb.13480",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak 2017.pdf,zak_2017.pdf,record,https://doi.org/10.1111/gcb.13480,https://objects.lib.uidaho.edu/nitrogen-gradient/small/zak_2017_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/zak_2017_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_004,Anthropogenic N deposition slows decay by favoring bacterial metabolism: Insights from metagenomic analyses,,2016,"Freedman, Z.B., R.A. Upchurch, D.R. Zak, and L.C. Cline",,,Article,,,,"Frontiers in Microbiology, Volume 7, 2016 DOI:10.3389/fmicb.2016.00259",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2016_a.pdf,freedman_2016_a.pdf,record,https://doi.org/10.3389/fmicb.2016.00259,https://objects.lib.uidaho.edu/nitrogen-gradient/small/freedman_2016_a_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/freedman_2016_a_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_005,Microbial potential for ecosystem N loss is increased by experimental N deposition,,2016,"Freedman, Z.B., R.A. Upchurch, and D.R. Zak",,,Article,,,,"PloS one 11, 2016, DOI:10.1371/journal.pone.0164531",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2016_b.pdf,freedman_2016_b.pdf,record,https://doi.org/10.1371/journal.pone.0164531,https://objects.lib.uidaho.edu/nitrogen-gradient/small/freedman_2016_b_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/freedman_2016_b_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_006,Chronic nitrogen deposition alters tree allometric relationships: implications for biomass production and carbon storage,,2016,"Ibáñez, I., D.R. Zak, A.J. Burton, and K.S. Pregitzer",,,Article,,,,"Ecological Applications, 2015, DOI:10.1890/15-0883",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Ibanez 2016.pdf,ibanez_2016.pdf,record,https://doi.org/10.1890/15-0883,https://objects.lib.uidaho.edu/nitrogen-gradient/small/ibanez_2016_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/ibanez_2016_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_007,Key ecological responses to nitrogen are altered by climate change,,2016,"Greaver, T.L., C.M. Clark, J.E. Compton, D. Vallano, A.F. Talhelm, C.P. Weaver, L.E. Band, J.S. Baron, E.A. Davidson, C.L. Tague, and E. Felker-Quinn",,,Article,,,,"Nature Climate Change, September 2016, DOI:10.1038/nclimate3088",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Greaver 2016.pdf,greaver_2016.pdf,record,https://doi.org/10.1038/nclimate3088,https://objects.lib.uidaho.edu/nitrogen-gradient/small/greaver_2016_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/greaver_2016_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_008,Differential responses of total and active soil microbial communities to long-term experimental N deposition,,2015,"Freedman, Z.B., K.J. Romanowicz, R.A. Upchurch, and D.R. Zak",,,Article,,,,"Soil Biology and Biochemistry, Volume 90, November 2015, DOI:10.1016/j.soilbio.2015.08.014",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2015.pdf,freedman_2015.pdf,record,https://doi.org/10.1016/j.soilbio.2015.08.014,https://objects.lib.uidaho.edu/nitrogen-gradient/small/freedman_2015_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/freedman_2015_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_009,Fine roots are the dominant source of recalcitrant plant litter in sugar maple-dominated northern hardwood forests,,2015,"Mengxue Xia, Alan F. Talhelm and Kurt S. Pregitzer",,,Article,,,,"New Phytologist, Volume 208, Issue 3, June 2015, doi: 10.1111/nph.13494",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia_et_al-2015-New_Phytologist.pdf,xia_et_al-2015-new_phytologist.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/xia_et_al-2015-new_phytologist.pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/small/xia_et_al-2015-new_phytologist_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/xia_et_al-2015-new_phytologist_th.jpg,
ng_pub_010,Redefining fine roots improves understanding of below-ground contributions to terrestrial biosphere processes,,2015,"M. Luke McCormack, Ian A. Dickie, David M. Eissenstat, Timothy J. Fahey, Christopher W. Fernandez, Dali Guo, Helj€a-Sisko Helmisaari, Erik A. Hobbie, Colleen M. Iversen, Robert B. Jackson, Jaana Leppalammi-Kujansuu, Richard J. Norby, Richard P. Phillips, Kurt S. Pregitzer, Seth G. Pritchard, Boris Rewald and Marcin Zadworny",,,Article,,,,"New Phytologist, Volume 207, Issue 3, March 2015, DOI:10.1111/nph.13363",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/McCormack_et_al-2015-New_Phytologist.pdf,mccormack_et_al-2015-new_phytologist.pdf,record,https://doi.org/10.1111/nph.13363,https://objects.lib.uidaho.edu/nitrogen-gradient/small/mccormack_et_al-2015-new_phytologist_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/mccormack_et_al-2015-new_phytologist_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_011,Fine roots are the dominant source of recalcitrant plant litter in sugar maple-dominated northern hardwood forests,,2015,"Xia, M., A.F. Talhelm, and K.S. Pregitzer",,,Article,,,,"New Phytologist, Volume 208, Issue 3, June 2015, doi: 10.1111/nph.13494",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia-et-al-2015-Gradient-litter-chem.pdf,xia-et-al-2015-gradient-litter-chem.pdf,record,https://doi.org/10.1111/nph.13494,https://objects.lib.uidaho.edu/nitrogen-gradient/small/xia-et-al-2015-gradient-litter-chem_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/xia-et-al-2015-gradient-litter-chem_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_012,"Atmospheric N Deposition Alters Connectance, but not Functional Potential Among Saprotrophic Bacterial Communities",,2015,"Freedman, Z., and D.R. Zak",,,Article,,,,"Molecular Ecology, Volume 24, Issue 12, May 2015, DOI:10.1111/mec.13224",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2015_Mol_Ecol_Accepted.pdf,freedman_2015_mol_ecol_accepted.pdf,record,https://doi.org/10.1111/mec.13224,https://objects.lib.uidaho.edu/nitrogen-gradient/small/freedman_2015_mol_ecol_accepted_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/freedman_2015_mol_ecol_accepted_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_013,Forest floor community metatranscriptomes identify fungal and bacterial responses to N deposition in two maple forests,,2015,"Hesse, C.N., R.C. Mueller, M. Vuyisich, L.V. Gallegos-Graves, C.D. Gleasner, D.R. Zak, and C. R. Kuske",,,Article,,,,"Frontiers in Microbiology, Volume 6, 2015 DOI:10.3389/fmicb.2015.00337",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hesse_Frontiers_2015.pdf,hesse_frontiers_2015.pdf,record,https://doi.org/10.3389/fmicb.2015.00337,https://objects.lib.uidaho.edu/nitrogen-gradient/small/hesse_frontiers_2015_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/hesse_frontiers_2015_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_014,Soil Bacterial Communities are Shaped by Temporal and Environmental Filtering: Evidence from a Long‐Term Chronosequence,,2015,"Freedman, Z., and D.R. Zak",,,Article,,,,"Environmental Microbiology, Volume 17, Issue 9, September 2015, DOI:10.1111/1462-2920.12762",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_EnvMicro_2015.pdf,freedman_envmicro_2015.pdf,record,https://doi.org/10.1111/1462-2920.12762,https://objects.lib.uidaho.edu/nitrogen-gradient/small/freedman_envmicro_2015_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/freedman_envmicro_2015_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_015,Atmospheric N Deposition Increases Bacterial Laccase-Like Multicopper Oxidases: Implications for Organic Matter Decay,,2014,"Freedman, Z., and D.R. Zak",,,Article,,,,"Applied and Environmental Microbiology, Vol. 80, No. 14, https://doi.org/10.1128/AEM.01224-14",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2014_AEM.pdf,freedman_2014_aem.pdf,record,https://doi.org/10.1128/AEM.01224-14,https://objects.lib.uidaho.edu/nitrogen-gradient/small/freedman_2014_aem_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/freedman_2014_aem_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_016,Trophic stability of soil oribatid mites in the face of environmental change,,2014,"Gan, H., D.R. Zak, and M.D. Hunter",,,Article,,,,"Soil Biology and Biochemistry, Volume 68, January 2014, https://doi.org/10.1016/j.soilbio.2013.09.019",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Gan_2014.pdf,gan_2014.pdf,record,https://doi.org/10.1016/j.soilbio.2013.09.019,https://objects.lib.uidaho.edu/nitrogen-gradient/small/gan_2014_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/gan_2014_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_017,Ecosystem Succession and Nutrient Retention: Vitousek and Reiners' Hypothesis,,2014,"Zak, D.R.",,,Article,,,,"The Bulletin of the Ecological Society of America, Volume 95, July 2014, https://doi.org/10.1890/0012-9623-95.3.234",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak_2014_Bulletin.pdf,zak_2014_bulletin.pdf,record,https://doi.org/10.1890/0012-9623-95.3.234,https://objects.lib.uidaho.edu/nitrogen-gradient/small/zak_2014_bulletin_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/zak_2014_bulletin_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
ng_pub_018,Long-term experimental nitrogen deposition alters the composition of the active fungal community in the forest floor,,2013,"Entwistle, E.M., D.R. Zak, and I.P. Edwards",,,Article,,,,"Soil Science Society of America Journal, Volume 77, Issue 5, https://doi.org/10.2136/sssaj2013.05.0179",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Entwistle_2013.pdf,entwistle_2013.pdf,record,https://doi.org/10.2136/sssaj2013.05.0179,https://objects.lib.uidaho.edu/nitrogen-gradient/small/entwistle_2013_sm.jpg,https://objects.lib.uidaho.edu/nitrogen-gradient/thumbs/entwistle_2013_th.jpg,"PDF was shared on original site, but unable to determine rights status, so currently changed to record only item."
