objectid,filename,title,creator,description,date,date_archival,date is approximate?,subject,location,latitude,longitude,digital collection,source,identifier,digital_source,format,format original,display_template,type,rights,rightsstatement,language,object_location,image_small,image_thumb,extract_full_text
shitamae033,mg387_03_033.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [3],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him that they will be transfered to Idaho, talks of building crates to store their things while moving.",1942-08-28,8/28/1942,no,weather; gifts (object genre); activities (general context); travel,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_033,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_033.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_033_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_033_th.jpg,FALSE
shitamae034,mg387_03_034.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [6],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, telling him that they are being transfered to Idaho and are saddened by leaving Washington because it is so close to home.",1942-09-01,9/1/1942,no,travel; sadness,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_034,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_034.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_034_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_034_th.jpg,FALSE
shitamae035,mg387_03_035.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [7],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, telling him that they are in Idaho and it is much different than Washington, it is very dusty and flat surrounded by sage, rattlesnakes and rabbits, the barracks. Fumiko says that they are contributing to the future of America by bulding something on all the flat land.",1942-09-05,9/5/1942,no,travel; Idaho; dust; buildings (structures),"Minidoka, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_035,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_035.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_035_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_035_th.jpg,FALSE
shitamae036,mg387_03_036.pdf,Transcription of Letter to Shihei (George) Shitamae from Midori Fujii [1],"Fujii, Midori","Letter telling George Shihei Shitamae that they have just been transfered to Idaho and the train ride there was dificult but the meals were good. States that Idaho is dusty and expressed dissapointment that it will be their permanent home, cautions George of rattlesnakes.",1942-09-15,9/15/1942,yes,scenery (landscape); trains (vehicle groupings); food; weather,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_036,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_036.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_036_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_036_th.jpg,FALSE
shitamae037,mg387_03_037.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [3],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him about their transfer and how beautiful the scenery was on the train but how dusty and flat it got when they arrivd in Minidoka, Idaho. It discusses the structures of the new camp and the buildings that make up a little community, including a hospital which Miyoko wants to work at again but the walk is over 2 miles and the dust makes it very challenging.",1942-09-09,9/9/1942,no,travel; scenery (landscape);  buildings (structures); occupations (livelihoods); communities (social groups),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_037,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_037.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_037_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_037_th.jpg,FALSE
shitamae038,mg387_03_038.jpg,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [4],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him about a terrible dust storm and compared it to Seattle rain only it was dust, Miyoko encolsed a piece of sage brush to see if George had any of that plant in New Mexico.",1942-09-10,9/10/1942,no,scenery (landscape); dust,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_038,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_038.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_038_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_038_th.jpg,FALSE
shitamae039,mg387_03_039.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [4],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him about the details of their transfer and all the scenery they saw along the way, when they arrived at Twin Falls dust was everywhere.The Barracks are big and have more windows and the town is 2 -3 miles long, 8th biggest in Idaho. Yoshiko talks about school starting and having to teach and catch up their younger sibling with arithmetic and spelling in time for school.",1942-09-17,9/17/1942,no,scenery (landscape); dust;  buildings (structures); trains (vehicle groupings),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_039,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_039.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_039_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_039_th.jpg,FALSE
shitamae041,mg387_03_041.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [5],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him that the family was getting over diarrhea and sickness but everyone is getting better now. The weather had been changing and they had discovered a bed of water just outside of their camp that the dust hid, some people even caught fish to eat.",1942-10-20,10/20/1942,no,leisure; illness; activities (general context); weather,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_041,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_041.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_041_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_041_th.jpg,FALSE
shitamae042,mg387_03_042.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [8],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, telling him about working in the hospital and people in the camp getting over the stomach flu. Their father has returned from the hospital and is no longer suffereing from the flu and before. Also talks about sending celery juice to him but has to get it from town. States that the family and others in the camp are getting used the camp and settling in, talks about starting to grow produce next year.",1942-10-14,10/14/1942,no,weather; illness; powers of attorney,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_042,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_042.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_042_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_042_th.jpg,FALSE
shitamae043,mg387_03_043.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [5],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him about how a few members of the family are still sick and staying home together but they have a stove so they do not freeze. Papa is trying to build furtinure in front of the stove but it isn't easy and is frustrating him. Yoshiko is not working at the hospital but Fumiko and Miyoko are.Yoshiko wanted to send a picture but the government confiscated all cameras during forced relocation, asks George to send a picture of himself.",1942-10-29,10/29/1942,no,weather; illness; cameras (photographic equipment); occupations (livelihoods),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_043,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_043.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_043_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_043_th.jpg,FALSE
shitamae044,mg387_03_044.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [6],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him about how a few members of the family are still sick and staying home together but they have a stove so they do not freeze. Papa is trying to build furtinure in front of the stove but it isn't easy and is frustrating him. Yoshiko is not working at the hospital but Fumiko and Miyoko are. Yoshiko wanted to send a picture but the government confiscated all cameras during forced relocation, asks George to send a picture of himself.",1942-10-29,10/29/1942,no,weather; illness; cameras (photographic equipment); occupations (livelihoods),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_044,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_044.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_044_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_044_th.jpg,FALSE
shitamae045,mg387_03_045.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [7],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him that the family misses him terribly and are hearing talks of famiies being reunited together soon, she compares it to a bad dream being separted. it had started so snow in Idaho and that has made the landscape beautiful. They had a nice Thanksgiving in the dining hall and are preparing for Christmas.",1942-12-07,12/7/1942,no,weather; holidays,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_045,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_045.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_045_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_045_th.jpg,FALSE
shitamae046,mg387_03_046.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [6],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, expressing frustration that all mail is going through New York and then down to its addressed destination. The letter also asks if the celery extract came and what it is used for. It continues to snow and that means everyone is cramped in the house but Papa has made furniture and shelves so things can be stored out of the way. Miyoko also talks about her child and wishes George could watch them grow.",1942-12-01,12/1/1942,yes,weather; working; children (people by age group); family life,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_046,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_046.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_046_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_046_th.jpg,FALSE
shitamae047,mg387_03_047.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [8],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him that they miss him and hope he is in good health. Talks about the Christmas decorating compeition between the mess halls. Also thanks George for all of the wonderful gifts he sent and that they are knitting him something as well. Also details Yoshiko's school schedule that is from 8-5 and leave all of the kids very tired.",1942-12-22,12/22/1942,no,gifts (object genre); holidays; diaries; education,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_047,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_047.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_047_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_047_th.jpg,FALSE
shitamae048,mg387_03_048.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [9],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, telling him about the Christmas celebration and how they brought in the new year with Mochi and good thoughts. The family loves all of the gifts he had made them for Christmas and displays them proudly, and misses him dearly. They all helped to knit him a sweater in time for the holidays but just sent it out.",1943-01-18,1/18/1943,no,gifts (object genre); holidays; hope,,,,,George Shihei Shitamae papers,mg387_03_048,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_048.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_048_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_048_th.jpg,FALSE
shitamae049,mg387_03_049.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [9],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, apologizing for not writing him more frequently but that the family thinks of him all the time and wishes and does not understand why they cannot all be together. Details their holidays and asks him if he got to do anything enjoyable. Asks about his high blood pressure and tells him to be careful of eating a lot of meat. Promises to write him more often and misses him.",1943-01-26,1/26/1943,no,holidays; weather; entertainment,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_049,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_049.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_049_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_049_th.jpg,FALSE
shitamae050,mg387_03_050.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [7],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, talking to him about Seattle and how different it is and if they would even want to go back after the war and if Japanese will even be accepted there. Fumiko is leaving the camp because she got accepted to go to college in Ohio and that means Miyoko has to take over one some responsibilities. She reflecting on the circumstances they are in and states to not take anything forgranted.",1943-02-15,2/15/1943,no,Seattle; college students; family life; weather,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_050,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_050.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_050_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_050_th.jpg,FALSE
shitamae051,mg387_03_051.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [10],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, talking to him about how the family all had colds but everyone is feeling better and back in good health. Talks about the high school, its name, mascot and school colors. Talks about George Shihei Shitamae's great vocabulary and his niece being a spoiled but happy child.",1943-03-01,3/1/1943,no,illness; education,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_051,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_051.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_051_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_051_th.jpg,FALSE
shitamae052,mg387_03_052.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [10],"Shitamae, Fumiko","Letter from George Shihei Shitamae's niece, Fumiko, telling him about getting ready to leave to go to Ohio for college. Camp life has spead up and there are recruiters for the Japanese Combat unit.",1943-03-03,3/3/1943,no,college students; recruitment; weather,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_052,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_052.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_052_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_052_th.jpg,FALSE
shitamae053,mg387_03_053.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [11],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him that Fumiko has left for college and traveled with a friend. Yoshiko apologizes to him that he has been relocated for a fourth time and the family is thinking about him. They are replanting the garden again because the plants died and rabbits eat their crops.They are planning to send him some paper cherry blosssoms that they crafted.Check's up on George's blood pressure.",1943-04-05,4/5/1943,no,college students; travel; weather; activities (general context); health,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_053,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_053.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_053_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_053_th.jpg,FALSE
shitamae054,mg387_03_054.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [8],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him about the Spring weather. Also about Fumiko's experience in college and how much she likes it. Also asked about his blood pressure and if he needs any more celery extract. Talks about relocation to the middle east or west like Chicago but Miyoko doesn't want to live in a big city but start out smaller somewhere else.",1943-04-09,4/9/1943,no,relocation; travel; weather; college students; family life,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_054,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_054.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_054_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_054_th.jpg,FALSE
shitamae055,mg387_03_055.jpg,Transcription of Letter to Shihei (George) Shitamae from Midori Fujii [2],"Fujii, Midori","Letter from George Shihei Shitamae's great-niece, Midori, asking him about his transfer to Santa Fe and the weather. It was Midori's 11th birthdya and they had a party and got a book as a present, also taking piano lessons. Since the weather is getting hotter they are going to the canal.",1943-04-24,4/24/1943,no,celebrations; weather; activities (general context),,,,,George Shihei Shitamae papers,mg387_03_055,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_055.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_055_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_055_th.jpg,FALSE
shitamae056,mg387_03_056.pdf,Letter to Shihei (George) Shitamae [8],,Letter written in Japanese.,1943,1943,yes,,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_056,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_056.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_056_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_056_th.jpg,FALSE
shitamae057,mg387_03_057.jpg,Letter to Shihei (George) Shitamae from Yukiko Fujii [1],"Fujii, Yukiko","Letter from George Shihei Shitamae's niece, Yukiko, asking him about the hot weather, informs him of the families and children. People are returning to camp but that makes them miss him even more. They are moving inland in August but they don't know where. Yukiko's husband says that they are allowing people to return to Japan but they are torn and asks if he has thought of this as well.",1942-07-20,7/20/1942,no,censorship; education; weather; travel,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_057,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_057.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_057_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_057_th.jpg,FALSE
shitamae058,mg387_03_058.jpg,Letter to Mrs. Fujii,,"Letter to George Shihei Shitamae discussing the weather. The letter states the the writer was recruited by the Army. Things are becoming more mild and calm, although the family is still torn between going back to Japan and staying here.",1942-08-05,8/5/1942,no,weather; recruitment; Japan,,,,,George Shihei Shitamae papers,mg387_03_058,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_058.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_058_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_058_th.jpg,FALSE
shitamae059,mg387_03_059.jpg,Letter to Shihei (George) Shitamae from Yukiko Fujii [2],"Fujii, Yukiko","Letter from George Shihei Shitamae's niece, Yukiko, telling him about the tax return situation and how there have been some errors but it is being taken care of. Kukiko thanks him for the candies he had sent and in return they sent in 8 avocados they saw when they visited Twin Falls, Idaho for the first time.",1943-05-24,5/24/1943,no,taxes (political concept); business (commercial function); gifts (object genre),"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_059,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_059.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_059_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_059_th.jpg,FALSE
