title,description,author,editors,date,subject,publisher,relation-is part of,source,contributing institution,resource identifier,rights,rightsstatement,type,format,language,date digital,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Proceedings - Grazing Behavior of Livestock and Wildlife,"This bulletin contains 18 different research papers related to the topic of Grazing Behavior of Livestock and Wildlife, as well as abstracts of poster presentations.  Paper titles are as follows; Foraging on the Edge of Chaos, Making Sense of Animal Conditioning, Grazers and Browsers: How Digestive Morphology Affects Diet Selection, Foraging Behavior: Experience or Inheritance?, Manipulating Diet Selection to Control Weeds, Behavioral Strategies for Coping with Poisonous Plants, Behavioral Approaches for Limiting Depredation by Wild Ungulates, Plant Attributes that Affect Livestock Selection and Intake, Using Stock dogs for Low Stress Livestock Handling, Low Stress Livestock Handling, Some Basic Principles of Habitat Use, Impact of Spatial Memory on Habitat Use, Influence of Species, Breed and Type of Animal on Habitat Selection, Influence of Social Dominance on Habitat Selection by Free-Ranging Ungulates, Management Strategies for Optimal Beef Cattle Distribution and Use of Mountain Riparian Meadows, Livestock-Big Game Relationships: Conflicts and Compatibilities, Livestock, Wildlife, Plants and Landscapes: Putting It All Together.",,"Launchbaugh, K.L., Mosley, J.C., Sanders, K.D.",1999-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 70,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Montana State University; Oregon State University; Washington State University;,uifwre-sb70,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/42,42,fwres42,pdf,fwres42.pdf,https://objects.lib.uidaho.edu/fwres/fwres42.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres42_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres42_th.jpg,
Idaho's Forest Products Industry: Current Conditions and Forecast 2000,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry.  The report includes several illustrative graphs.","Keegan, Charles E. III; Wagner, Francis G.; Blatner, Keith A.; Shook, Steve",,2000-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 71,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb71,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/43,43,fwres43,pdf,fwres43.pdf,https://objects.lib.uidaho.edu/fwres/fwres43.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres43_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres43_th.jpg,
Return of the Giants Restoring White Pine Ecosystems by Breeding and Aggressive Planting of Blister Rust-Resistant White Pines,"An informational bulletin covering the Western White Pine, its ecology, importance, decline due to rust, historic and current efforts to restore white pine forests as well as predictions for the future of Western White Pine and further readings on the topic.","Fins, Lauren; Byler, James; Ferguson, Dennis; Harvey, Al; Mahalovich, Mary Francis; McDonald, Geral; Miller, Dan; Schwandt, John; Zack, Art",,2001,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 72,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-sb72,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/44,44,fwres44,pdf,fwres44.pdf,https://objects.lib.uidaho.edu/fwres/fwres44.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres44_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres44_th.jpg,
"Lethal Effects of 1,888 Chemicals upon Four Species of Fish from Western North America","The bulletin describes the results of a pesticide screening program.  It denotes the relative toxicity of 1,888 different chemicals lethal to four species of freshwater fish: northern squawfish, steelhead, Chinook salmon, and Coho salmon.","MacPhee, Craig; Ruelle, Richard",,1969-11-01,freshwater fish;,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 3,"Idaho SD12.I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Forestry-Wildlife and Range Sciences;,uifwre-b03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/45,45,fwres45,pdf,fwres45.pdf,https://objects.lib.uidaho.edu/fwres/fwres45.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres45_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres45_th.jpg,
Anti-Quality Factors in Rangeland and Pastureland Forages,"The goal of this publication is to review major anti-quality factors that influence livestock production on range and pasture lands.  Anti-quality components of forages are quite simply any factor inherent in forage that limits the ability of a grazing animal to reach its potential for growth and reproduction.  There are a number of frequently encountered effects of anti-quality factors such s bloat, mineral disorders, nitrate toxicity, poisonings from plant toxins such as glycosides or alkaloids, neurological effects, photosensitization, and disorders associated with microorganisms and insects.  Lignin, tannins, thorns, and spatial arrangements of plants are also considered anti-quality attributes because they reduce intake or digestibility.  This management bulletin is the outgrowth of a symposium on anti-quality attributes of rangeland and pastureland forages presented at the 1999 joint meeting of the American Forage and Grassland Council (AFGC) and the society for Range Management (SRM).",,"Launchbaugh, K.L.",2001-07-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 73,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Natural Resources Conservation Service; U.S. Department of Agriculture;,uifwre-sb73,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/46,46,fwres46,pdf,fwres46.pdf,https://objects.lib.uidaho.edu/fwres/fwres46.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres46_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres46_th.jpg,
Idaho's Forest Products Industry: Current Conditions and Forecast 2001,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry.  The report includes several illustrative graphs.","Keegan, Charles E. III; Gebert, Krista; Wagner, Francis G.; Blatner, Keith A.; Shook, Steve",,2001-05-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 75,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb75,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/47,47,fwres47,pdf,fwres47.pdf,https://objects.lib.uidaho.edu/fwres/fwres47.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres47_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres47_th.jpg,
A Guide to Seedling Selection [September 2009],"This issue of 'A Guide to Seedling Selection' includes useful information concerning financial programs meant to help potential tree growers start up new operations.  The guide also provides insight into various tree grower issues including weeds and animal damage.  At the end of the publication are descriptions of various ground cover types, shrubs, deciduous and coniferous trees, special packages as well as books, journals, and publications of tree growing concern.","Davis, Anthony S.; Brusven, Annette D.L.",,2009-09-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 18,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Natural Resources;,uifwre-mp18_2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/48,48,fwres48,pdf,fwres48.pdf,https://objects.lib.uidaho.edu/fwres/fwres48.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres48_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres48_th.jpg,
After the Burn Assessing and Managing Your Forestland After a Wildfire,"This bulletin contains information on a variety of topics related to assessing and managing forestlands after a wildfire.  Topics covered include: an introduction to forest types, fire in the forest, fire mechanics and behavior, fire and vegetation, fire and wildlife, fire and soils, fire and watersheds, fire and aquatic environments, forests after a fire.","Barkley, Yvonne C.",,2006-08-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 76,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",University of Idaho Extension;,uifwre-sb76,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/49,49,fwres49,pdf,fwres49.pdf,https://objects.lib.uidaho.edu/fwres/fwres49.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres49_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres49_th.jpg,
Idaho's Forest Products Industry: Current Conditions and Forecast 2004,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry.  The report includes several illustrative graphs.","Keegan, Charles E. III; Morgan, Todd A.; Wagner, Francis G.; Pavia, Joey K.; Shook, Steven R.; Blatner, Keith A.",,2004-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 81,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb81,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/50,50,fwres50,pdf,fwres50.pdf,https://objects.lib.uidaho.edu/fwres/fwres50.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres50_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres50_th.jpg,
Shrub-Steppe Vegetation of the East Fork and the Middle Fork of the Salmon River Drainages,"Authors describe nineteen shrub-steppe communities in the Middle Fork and East Fork of the Salmon River, Idaho.  Bluebunch wheatgrass (Pseudoroegneria spicata) and Idaho fescue (Festuca idahoensis) occur as dominants or major subdominants throughout the region.  Big sagebrush (Artemesia tridentata), threetip sagebrush (A. tripartita), and low sagebrush (A.arbuscula) are dominants, especially in the East Fork and southern Middle Fork.  Antelope bitterbrush (Purshia tridentata) communities exist throughout the region but are most abundant along the Middle Fork, where the species also occurs as a dominant in the understory of ponderosa pine (Pinus ponderosa) and Douglas fir (Pseudotsuga menziesii) stands on drier sites.  Cliffy areas in all regions have curlleaf mountain mahogany (Cercocarpus ledifolius) and little greenbush (Glossopetalon nevadense) stands, reflecting the specialized habitats on which these communities occur.  Shadscale saltbush (Atriplex confertifolia) communities occupy the driest sites in the lower East Fork.  Common snowberry (Symphoricarpos albus), antelope bitterbrush, big sagebrush, threetip sagebrush, Idaho fescue, bluebunch wheatgrass, and needle-and-thread (Hesperostipa comata) are well represented in the plant communities.  Bluebunch wheatgrass or Idaho fescue or both dominate grassland communities.  Needle-and-thread dominates on some xeric, sandy sites.  The presence of ponderosa pine or Douglas fir in shrub communities suggests these are successional stages of conifer-dominated community types.  At least six conifer communities are represented in ten stands dominated by common snowberry, in thirteen dominated by ninebark (Physocarpus malvaceus), five dominated by Idaho fescue, and three dominated by mountain big sagebrush (Artemisia tridentata ssp. vaseyana).  Seven sites exclosed between 1915 and 1950 provide evidence of reduction in shrubs and expansion of grassland and herbaceous portions of these communities in the Middle Fork.  A record of a stand photographed in 1925, 1968, and 1988 appears to corroborate these findings.  Changes in species composition of these communities are attributed to changes in species of herbivores, including livestock, mule deer, and elk; to alterations in the natural fire regime; and to weather patterns that affected woody and herbaceous plants differently over the period.  The major fire of 2000 in the Middle Fork drainage appears to have increased cheatgrass (Bromus tectorum) at least temporarily, and to have reduced nonresprouting shrubs including big sagebrush, curlleaf mountain mahogany, and antelope bitterbrush.  Subsequent establishment of new plants from seeds has occurred on sites burned in the most recent fires.  Productivity of bluebunch wheatgrass was reduced for one year following the 2000 fire.","Peek, James M.; Yeo, Jeffrey J.; Hickey, William O.; Lauer, Jerry L.; Claar, James C.",,2005,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 82,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",The Nature Conservancy; Salmon National Forest; Umatilla Agency; U.S. Forest Service Region 1;,uifwre-sb82,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/51,51,fwres51,pdf,fwres51.pdf,https://objects.lib.uidaho.edu/fwres/fwres51.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres51_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres51_th.jpg,
Idaho's Forest Products Industry: Current Conditions and Forecast 2005,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry.  The report includes several illustrative graphs.","Keegan, Charles E. III; Brandt, Jason P.; Wagner, Francis G.; Pavia, Joey K.; Shook, Steven R.; Blatner, Keith A.",,2005-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 83,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb83,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/52,52,fwres52,pdf,fwres52.pdf,https://objects.lib.uidaho.edu/fwres/fwres52.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres52_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres52_th.jpg,
Characteristics and Preferences of Recreationists in Selected Northern Idaho State Parks,"The note discusses a study that interviewed recreationists in northern Idaho parks to gain information on activity preferences, facility and service evaluations and preferences, and some tourist and economic data.","Alden, Howard R.",,1965-06-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 1, June 1965","Idaho QH76.5 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/53,53,fwres53,pdf,fwres53.pdf,https://objects.lib.uidaho.edu/fwres/fwres53.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres53_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres53_th.jpg,
Range Land Seeding in Idaho,The note summarizes the range land seeded by federal agencies and private land owners in the state of Idaho using data collected by governmental agencies.,"Sharp, Lee A.",,1965-06-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 2, June 1965","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn02,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/54,54,fwres54,pdf,fwres54.pdf,https://objects.lib.uidaho.edu/fwres/fwres54.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres54_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres54_th.jpg,
A Direct Seeding Experiment With Four Tree Species Native to Northern Idaho,"The note presents a study that sought to determine the synthesis of species, site preparation and time of seeding necessary for maximum forestation success.","Loewenstein, Howard; Pitkin, Franklin H.",,1966-05-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 3, May 1966","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/55,55,fwres55,pdf,fwres55.pdf,https://objects.lib.uidaho.edu/fwres/fwres55.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres55_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres55_th.jpg,
Suggested Management Programs for Grazing Crested Wheatgrass,"The  bulletin suggests management of crested wheatgrass rangeland based on grazing trials at the Point Springs experimental area.  Included is information about general plant growth characteristics, limitations imposed on forage production by habitat conditions, and the relationship of forage production to alternative grazing practices, and the requirements of grazing animals and the livestock operation.","Sharp, Lee A.",,1970-03-01,Agropyron cristatum; wheatgrass;,"University of Idaho Forest, Wildlife and Range Experiment Station",Bulletin Number 4,"Idaho SD12.I2, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",College of Forestry-Wildlife and Range Sciences;,uifwre-b04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/56,56,fwres56,pdf,fwres56.pdf,https://objects.lib.uidaho.edu/fwres/fwres56.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres56_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres56_th.jpg,
Cytospora Canker Of Planted Poplars,The note provides instructions on how to treat and prevent cytospora canker of planted poplars.,"Partridge, Arthur D.",,1966-12-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 4, December 1966","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/57,57,fwres57,pdf,fwres57.pdf,https://objects.lib.uidaho.edu/fwres/fwres57.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres57_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres57_th.jpg,
Idaho's Forest Products Industry: Current Conditions and Forecast 2002,"A brief report on current global conditions, current employment and production as well as future financial outlooks relating to Idaho's Wood Products Industry.  The report includes several illustrative graphs.","Keegan, Charles E. III; Morgan, Todd A.; Wagner, Francis G.; Pavia, Joey K.; Shook, Steven R.; Blatner, Keith A.",,2002-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Station Bulletin 77,"Idaho QH76.5 I2 U47, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; University of Montana; Washington State University;,uifwre-sb77,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/58,58,fwres58,pdf,fwres58.pdf,https://objects.lib.uidaho.edu/fwres/fwres58.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres58_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres58_th.jpg,
Tip Dieback Of Young Grand Fir Caused By Cytospora Canker,The note describes cytospora canker in young grand fir and how best to treat it.,"Partridge, Arthur D.",,1966-12-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 5, December 1966","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/59,59,fwres59,pdf,fwres59.pdf,https://objects.lib.uidaho.edu/fwres/fwres59.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres59_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres59_th.jpg,
Root Development of Conifer Seedlings as Revealed by Radiophosphorus Absorption and Visual Observation,The note reports a greenhouse experiment that examined root elongation examined by both visual observations and radio-tracer determinations.,"Loewenstein, H.; McConnel, L.P.; Pitkin, F.H.",,1967-02-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 6, February 1967","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/60,60,fwres60,pdf,fwres60.pdf,https://objects.lib.uidaho.edu/fwres/fwres60.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres60_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres60_th.jpg,
The Genetic Improvement of Ponderosa Pine in Idaho,The note gives an overview of a project focusing on ponderosa pines.  The project seeks to produce genetically better seed in commercial quantity and to gather genetic information and breeding materials to be used for further improvement.,"Wang, Chi-Wu",,1967-02-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 7, February 1967","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn07,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/61,61,fwres61,pdf,fwres61.pdf,https://objects.lib.uidaho.edu/fwres/fwres61.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres61_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres61_th.jpg,
Destination Of Lumber Produced In Idaho,The note describes a study that determined the destination of lumber produced in Idaho.,"Williams, E.L.",,1967-02-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 8, February 1967","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn08,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/62,62,fwres62,pdf,fwres62.pdf,https://objects.lib.uidaho.edu/fwres/fwres62.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres62_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres62_th.jpg,
Dutch Elm Disease in Idaho,The note discusses the first reported case of Dutch elm disease in Idaho.  It lists symptoms of the disease and recommends preventative control of the disease.,"Partridge, Arthur D.",,1967-12-01,,"University of Idaho Forestry, Wildlife and Range Experiment Station","Station Note - No. 9, December 1967","Idaho SD12 I2 S7, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-sn09,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/63,63,fwres63,pdf,fwres63.pdf,https://objects.lib.uidaho.edu/fwres/fwres63.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres63_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres63_th.jpg,
