title,objectid,parentid,description,creator,recipient,date,date-is-approximate,latitude,longitude,location,latitude-received,longitude-received,location-received,subject,digital collection,contributing institution,source,rights,format-original,type,format,language,identifier,filename,rightsstatement,display_template,object_location,image_small,image_thumb
Science Fiction Creature Drawing,dodson0025,,"6x9 inch drawing, initialed C.A.S. in lower right corner, undated.","Smith, Clark Ashton","Dodson, Richard W.",,,,,,,,,drawings (visual works); science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",document; illustration,Image;StillImage,image/jpeg,eng,dodson-10-illustration-undated,dodson-10-illustration-undated.jpg,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/dodson/dodson-10-illustration-undated.jpg,https://objects.lib.uidaho.edu/dodson/small/dodson-10-illustration-undated_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-illustration-undated_th.jpg
Edward Elmer Smith Photograph 1932-01-02,dodson0026,,"Autographed photograph of E. E. ""Doc"" Smith. The note thanks Dodson for reading his works.","Smith, Edward Elmer","Dodson, Richard W.",1932-01-02,,,,,,,,portraits; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",photograph,Image;StillImage,image/jpeg,eng,dodson-02-1932-01-02,dodson-02-1932-01-02.jpg,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/dodson/dodson-02-1932-01-02.jpg,https://objects.lib.uidaho.edu/dodson/small/dodson-02-1932-01-02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-02-1932-01-02_th.jpg
Edward Elmer Smith Photograph 1937-08-28,dodson0027,,"Autographed photograph of E. E. ""Doc"" Smith","Smith, Edward Elmer","Dodson, Richard W.",1937-08-28,,,,,,,,portraits; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",photograph,Image;StillImage,image/jpeg,eng,dodson-02-1937-08-29,dodson-02-1937-08-29.jpg,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/dodson/dodson-02-1937-08-29.jpg,https://objects.lib.uidaho.edu/dodson/small/dodson-02-1937-08-29_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-02-1937-08-29_th.jpg
Julius Schwartz letter to Richard Dodson 1931-06-16,dodson0028,,Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz asks about the price of some publications and discusses a new magazine he'd recently read. He then talks about a few stories he'd read then gives him information on another author.,"Schwarz, Julius","Dodson, Richard W.",1931-06-16,,40.856426,-73.894919,"New York, New York",,,,science fiction; publishing; nuclear physics; magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-06-16,dodson-09-1931-06-16.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-06-16.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-06-16_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-06-16_th.jpg
Edward Elmer Smith letter to Richard Dodson 1932-05-14,dodson0029,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith congratulates Dodson on his graduation and academic acheivments. Smith then answers a few questions about his progress on ""Skylark"".","Smith, Edward Elmer","Dodson, Richard W.",1932-05-14,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; chemistry; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1932-05-14,dodson-04-1932-05-14.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1932-05-14.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1932-05-14_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1932-05-14_th.jpg
Richard Dodson letter to Eric Rocker Eddison 1935-10-11,dodson0030,,Handwritten letter from Richard Dodson to Eric Rocker Eddison. Dodson talks about his excitement for upcoming stories and a recent story he enjoyed.,"Dodson, Richard W.","Eddison, Eric Rocker",1935-10-11,,34.140208,-118.131086,"Pasadena, California",51.50442,-0.19916,"Campden Hill, England",science fiction; magazines (periodicals); fanzines; publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-09-1935-10-11,dodson-09-1935-10-11.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1935-10-11.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1935-10-11_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1935-10-11_th.jpg
Linus Hogenmiller letter to Richard Dodson 1932-06-20,dodson0031,,"Typewritten letter from Linus Hogenmiller to Richard Dodson. Hogenmiller responds to Dodson's A.I.E. application letter, explaining what he is looking for in applicants and what the goals are for A.I.E. He ends the letter by explaining how to request membership, and asks his opinion on A.I.E.  In the handwritten note at the bottom, he explains where he can find older issues of SF magazines.","Hogenmiller, Linus","Dodson, Richard W.",1932-06-20,,,,,,,,letters (correspondence); outlines (documents); writing; science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence,Text,application/pdf,eng,dodson-12-1932-06-20,dodson-12-1932-06-20.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-12-1932-06-20.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-12-1932-06-20_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-12-1932-06-20_th.jpg
Julius Schwartz letter to Richard Dodson 1931-11-30,dodson0032,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz talks about the SF fan publication he wants to start, then discusses the chemicals used in the meteor prank he spoke of in his previous letter. He then talks about recent stories he enjoyed reading.","Schwarz, Julius","Dodson, Richard W.",1931-11-30,,40.856426,-73.894919,"New York, New York",,,,science fiction; magazines (periodicals); publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-11-30,dodson-09-1931-11-30.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-11-30.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-11-30_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-11-30_th.jpg
Hashish Eater Drawing,dodson0033,,"6x9 inch color drawing, captioned on the verso in Smith's hand: ""For 'The Hashish-Eater'/C.A.S."" with a quote from the story underneath.","Smith, Clark Ashton","Dodson, Richard W.",1919,yes,,,,,,,drawings (visual works); science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",document; illustration,Image;StillImage,application/pdf,eng,dodson-10-illustration-1919,dodson-10-illustration-1919.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-illustration-1919.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-illustration-1919_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-illustration-1919_th.jpg
Verna Smith letter to Richard Richard Dodson undated [03],dodson0034,,Handwritten letter from Verna Smith to Richard Dodson. Smith says goodbye to Dodson and tells him to write her as soon as he gets home.,"Smith, Verna","Dodson, Richard W.",,,,,,,,,travel; letters (correspondence),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-05-vernasmith-undated3,dodson-05-vernasmith-undated3.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-05-vernasmith-undated3.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-05-vernasmith-undated3_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-05-vernasmith-undated3_th.jpg
Chinese Hell Cat Drawing,dodson0035,,"5 3/4 x 6 1/2 inch black and white drawing, captioned on the verso in Smith's hand: ""Chinese Hell Cat. / 1918""","Smith, Clark Ashton","Dodson, Richard W.",1905-04-01,yes,,,,,,,poetry; science fiction; supernatural,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",document; poem,Text,application/pdf,eng,dodson-10-illustration-1918,dodson-10-illustration-1918.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-illustration-1918.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-illustration-1918_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-illustration-1918_th.jpg
Clark Ashton Smith letter to Richard Dodson 1933-02-28,dodson0036,,Handwritten postcard from Clark Ashton Smith to Richard Dodson. Smith promises to send some drawings to Dodson. He breifly talks about SF publications.,"Smith, Clark Ashton","Dodson, Richard W.",1933-02-28,,38.895272,-121.075958,"Auburn, California",,,,science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; postcard,Text,application/pdf,eng,dodson-10-1933-02-28,dodson-10-1933-02-28.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-1933-02-28.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-1933-02-28_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-1933-02-28_th.jpg
Edward Elmer Smith letter to Richard Dodson 1931-12-14,dodson0037,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith writes about progress in writing ""Skylark"" and his future plans for ""Triplanetary."" Smith then discusses stories and authors he likes.","Smith, Edward Elmer","Dodson, Richard W.",1931-12-14,,41.921672,-84.638791,"Hillsdale, Michigan",40.19095,-92.5779,"Kirksville, Missouri",science fiction; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1931-12-14,dodson-04-1931-12-14.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1931-12-14.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1931-12-14_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1931-12-14_th.jpg
Edward Elmer Smith letter to Richard Dodson 1936-04-05,dodson0038,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith writes Dodson to tell him that his ""Skylark"" series is going to be published in book form. Smith also talks about his upcoming story ""Galactic Patrol"".","Smith, Edward Elmer","Dodson, Richard W.",1936-04-05,,42.239262,-84.422813,"Jackson, Michigan",,,,portraits; science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1936-04-05,dodson-04-1936-04-05.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1936-04-05.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1936-04-05_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1936-04-05_th.jpg
Edward Elmer Smith letter to Richard Dodson 1946-03-03,dodson0039,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith discusses world politics and how things are going at his work.","Smith, Edward Elmer","Dodson, Richard W.",1946-03-03,,41.936839,-87.734659,"Chicago, Illinois",,,,atomic warfare,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1946-03-03,dodson-04-1946-03-03.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1946-03-03.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1946-03-03_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1946-03-03_th.jpg
Julius Schwartz letter to Richard Dodson 1933-02-06,dodson0040,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz agrees with Dodson's criticism of recent SF stories and his loss of interest in reading SF. He then talks about SF publication news, including the conclusion of publishing ""TTT"".","Schwarz, Julius","Dodson, Richard W.",1933-02-06,,40.853556,-73.927652,"New York, New York",,,,science fiction; magazines (periodicals); publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1933-02-06,dodson-09-1933-02-06.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1933-02-06.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1933-02-06_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1933-02-06_th.jpg
George Zambock letter to Richard Dodson 1931-04-16,dodson0041,,Typewritten letter from George Zambock (thought to be written or typed by Julius Schwartz) to Richard Dodson. The letter answers some assumptions Dodson made about a magazine and tells him to write back if he wants more answers.,"Zambock, George; Schwarz, Julius","Dodson, Richard W.",1931-04-16,,40.857193,-73.892746,"New York, New York",,,,publishing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-04-16,dodson-09-1931-04-16.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-04-16.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-04-16_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-04-16_th.jpg
Julius Schwartz letter to Richard Dodson 1931-05-04,dodson0042,,Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz tells Dodson everything he knows about Smith and talks about stories that he likes.,"Schwarz, Julius","Dodson, Richard W.",1931-05-04,,40.856426,-73.894919,"New York, New York",,,,authors; science fiction;  publishing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-05-04,dodson-09-1931-05-04.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-05-04.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-05-04_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-05-04_th.jpg
Edward Elmer Smith letter to Richard Dodson 1934-02-15,dodson0043,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith writes about ""Triplanetary"" finally being published. Smith explains some of his thoughts on his characters, then talks about his struggle with writing the third story in the ""Skylark"" series, deciding this third will be the last one in the series.","Smith, Edward Elmer","Dodson, Richard W.",1934-02-15,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1934-02-15,dodson-04-1934-02-15.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1934-02-15.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1934-02-15_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1934-02-15_th.jpg
Richard Dodson letter to Abraham Merritt 1933-11-04,dodson0044,,"Typewritten letter from Richard Dodson to Abraham Merritt (1884-1943), thanking Merritt for his autographed book, and asking Merritt to autograph a copy of Merritt's book as a Christmas gift for Edward Elmer Smith. Dodson also requests that Merritt send an autographed picture of himself.","Dodson, Richard W.","Merritt, Abraham",1933-11-04,,40.19112,-92.576347,"Kirksville, Missouri",40.73061,-73.935242,"New York, New York",books; autographs,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-11-1933-11-04,dodson-11-1933-11-04.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-11-1933-11-04.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-11-1933-11-04_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-11-1933-11-04_th.jpg
Abraham Merritt letter to Richard Dodson late 1933,dodson0045,,"Handwritten letter from Abraham Merritt (1884-1943) to Richard Dodson, inquiring as to what Edward Elmer Smith thought of Merritt's gifted book, Dwellers in the Mirage. Merritt offers to send Dodson the  ending that he would have preferred been published in the book.","Merritt, Abraham","Dodson, Richard W.",1933,,,,,,,,science fiction; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",book,Text,application/pdf,eng,dodson-11-undated01,dodson-11-undated01.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-11-undated01.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-11-undated01_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-11-undated01_th.jpg
Julius Schwartz letter to Richard Dodson 1931-08-20,dodson0046,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwarts tells Dodson how to get more illustrations by saving coupons from a publication, then he talks about his school life and stick and ball team. He then talks about another author.","Schwarz, Julius","Dodson, Richard W.",1931-08-20,,40.856426,-73.894919,"New York, New York",,,,science fiction; authors; clubs (associations); magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-08-20,dodson-09-1931-08-20.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-08-20.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-08-20_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-08-20_th.jpg
Julius Unger letter to Richard Dodson 1945-01-06,dodson0047,,Handwritten letter from Julius Unger to Richard Dodson on Fantasy Fiction Field paper. Unger was an early science fiction bookseller.,"Unger, Julius","Dodson, Richard W.",1945-01-06,yes,40.611611,-73.976321,"Brooklyn, New York",,,,science fiction; publications (documents); magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-09-1945-01-06,dodson-09-1945-01-06.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1945-01-06.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1945-01-06_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1945-01-06_th.jpg
Henry Clark(?) letter to Richard Dodson undated,dodson0048,,"Typewritten letter to Richard Dodson, assumed to be from Henry Clark. Clark requests that Dodson write more often, and promises to send more documents to him. He then suggests that Dodson get together with other A.I.E. members and send a group photo.","Clark, Henry","Dodson, Richard W.",,,39.759911,-104.9657,"Denver, Colorado",,,,correspondence; portraits,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",photograph,Text,application/pdf,eng,dodson-12-undated01,dodson-12-undated01.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-12-undated01.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-12-undated01_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-12-undated01_th.jpg
Clark Ashton Smith letter to Richard Dodson 1933-12-31,dodson0049,,"Typewritten letter from Clark Ashton Smith to Richard Dodson. Smith thanks Dodson for the picture he sent of himself, and says he hopes to send his own in return. He then talks about some recommended stories, and discusses authors and their writing styles.","Smith, Clark Ashton","Dodson, Richard W.",1933-12-31,,38.895272,-121.075958,"Auburn, California",,,,science fiction; writing; publishing; magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-10-1933-12-31,dodson-10-1933-12-31.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-1933-12-31.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-1933-12-31_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-1933-12-31_th.jpg
