objectid,filename,title,creator,date,archival date,description,subject,fire locations,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
tpa021,pot_tpa1918.pdf,Annual Report Potlatch Timber Protective Association 1918,Potlatch Timber Protective Association,1918,1918,"The 1918 annual report of the Potlatch Timber Protective Association includes the association president's report, a financial report, the auditing committee's report, and a report from the Fire Warden on new trails, telephone line development, the labor situation, lookout development, and information about the 25 fires during the season. The president's report describes the appointment of a new fire warden, the new headquarters building, and other news. The annual report also features a table related to fire locations and damage during the 1918 season and a table about the season's weather.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; trails (recreation areas); watchtowers; fire damage,"Elk River, Idaho","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1918,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1918.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1918_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1918_th.jpg
tpa022,pot_tpa1919.pdf,Annual Report Potlatch Timber Protective Association 1919,Potlatch Timber Protective Association,1919,1919,"The 1919 annual report of the Potlatch Timber Protective Association includes the association president's report, a financial report, an auditing report, and a report from the Fire Warden on the lack of new trails, telephone line development, the labor situation, and information about the 56 fires during the season. The president's report describes the timber loss during the 1919 fire season and the resignation of the previous fire warden. The annual report also features an inventory of equipment and a table related to fire locations and damage during the 1919 season.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; firefighting equipment; fire damage,Gold Creek Basin,"Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1919,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1919.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1919_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1919_th.jpg
tpa023,pot_tpa1921.pdf,Annual Report Potlatch Timber Protective Association 1921,Potlatch Timber Protective Association,1921,1921,"The 1921 annual report of the Potlatch Timber Protective Association includes a financial report, an auditing report, and a report from the Fire Warden on headquarters improvements, telephone line repair and development, lookout development, information about the 27 fires handled by the association during the season, and other details related to seasonal operations. The annual report also features tables about the season's climactic conditions and a table related to fire locations and damage during the 1921 season.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; firefighting equipment; watchtowers; fire damage,"Bovill, Idaho; Princeton, Idaho","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1921,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1921.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1921_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1921_th.jpg
tpa024,pot_tpa1923-1924.pdf,Combined Annual Reports Potlatch Timber Protective Association 1923-1924,Potlatch Timber Protective Association,1924,1923-1924,"The 1923-1924 combined annual reports of the Potlatch Timber Protective Association include financial reports, auditing reports, and two separate reports from the Fire Warden on the 1923 and 1924 fire seasons. The Fire Warden described 1923 as a favorable season and reported on operations and many improvements, such as new trails, new telephone lines, and headquarters improvements. In his 1924 report, the Fire Warden described the fire season as more hazardous and reported on operations, improvements, and the purchase of a new fire pump. The annual report also features tables about climactic conditions and tables related to fire locations and damage during the 1923 and 1924 fire seasons.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; firefighting equipment; watchtowers; fire damage; pumps (mechanical),"Elk River, Idaho; Elk Creek; North Fork River; Stocking Meadows","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1923-1924,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1923-1924.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1923-1924_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1923-1924_th.jpg
tpa025,pot_tpa1925-1926.pdf,Combined Annual Reports Potlatch Timber Protective Association 1925-1926,Potlatch Timber Protective Association,1926,1925-1926,"The 1925-1926 combined annual reports of the Potlatch Timber Protective Association include financial reports, auditing reports, and a combined report from the Fire Warden on the 1925 and 1926 fire seasons. The Fire Warden states that there was a change in the exterior boundaries of the District in 1925 and reports on the Idaho Forestry Law, operations and labor conditions, law enforcement of fire laws, as well as many improvements, such as new trails, telephone lines, and lookout towers. The annual report also features tables about climactic conditions and tables related to fire locations and damage during the 1925 and 1926 fire seasons.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; fire damage; thunderstorms; pumps (mechanical),"Elk Creek Basin; Clearwater River; Robinson Creek; Buswell, Idaho; Manson, Idaho; Gold Butte; Falls Creek; Stoney Creek","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1925-1926,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1925-1926.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1925-1926_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1925-1926_th.jpg
tpa026,pot_tpa1927.pdf,Combined Annual Reports Potlatch Timber Protective Association 1927-1928,Potlatch Timber Protective Association,1928,1927-1928,"The 1927-1928 combined annual reports of the Potlatch Timber Protective Association include financial reports, auditing reports, and a combined report from the Fire Warden on the 1927 and 1928 fire seasons. The warden describes the 1927 season as favorable, whereas the 1928 season was more hazardous and sustained twice as many fires as 1927. He also provides information on the Fallon Fire Law and the Clarke-McNary Act and reports on general operations, labor conditions, new trails and lookout towers, and an inspection conducted by the Idaho State Board of Land Commissioner. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1927 and 1928 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; thunderstorms; pumps (mechanical),"Deary, Idaho; Helmer, Idaho","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1927,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1927.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1927_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1927_th.jpg
tpa027,pot_tpa1929.pdf,Combined Annual Reports Potlatch Timber Protective Association 1929-1930,Potlatch Timber Protective Association,1930,1929-1930,"The 1929-1930 combined annual reports of the Potlatch Timber Protective Association include financial reports, auditing reports, and a combined report from the Fire Warden on the 1929 and 1930 fire seasons. The warden describes the 1929 season as the longest and driest on record, with greater fire damage than any season since 1919, whereas the 1930 season was more favorable and had fewer fires. He provides information on Idaho forestry laws and a change in district boundaries and reports on general operations and improvements, such as new trails, telephone lines, lookout towers, and headquarters improvements. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1929 and 1930 fire seasons.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; firefighting equipment; fire damage; thunderstorms,"White Rock Springs; Potlatch Creek; Bovill, Idaho; Collins, Idaho; Feather Creek","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1929,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1929.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1929_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1929_th.jpg
tpa028,pot_tpa1931-1932.pdf,Combined Annual Reports Potlatch Timber Protective Association 1931-1932,Potlatch Timber Protective Association,1932,1931-1932,"The 1931-1932 combined annual reports of the Potlatch Timber Protective Association include financial reports, auditing reports, and two separate reports from the Fire Warden on the 1931 and 1932 fire seasons. The warden describes 1931 as one of the worst seasons due to an increase in incendiarism with more losses in farm homes than previous seasons, whereas 1932 was the most favorable fire season since 1923 in terms of losses and expenses. The warden calls for more protection from incendiarism and reports on a members' inspection trip, the opening of a new Headquarters at Elk River, general operations, and improvements, such as new trails, lookouts, and telephone lines. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1931 and 1932 fire seasons.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; firefighting equipment; fire damage; arson,"Clearwater River; Clearwater National Forest; Elk River; McGary Butte; Troy, Idaho; Long Meadow Creek; Potlatch Creek; Alderman Ridge","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1931-1932,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1931-1932.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1931-1932_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1931-1932_th.jpg
tpa029,pot_tpa1939-1940.pdf,Combined Annual Reports Potlatch Timber Protective Association 1939-1940,Potlatch Timber Protective Association,1940,1939-1940,"The 1939-1940 combined annual reports of the Potlatch Timber Protective Association include financial reports, auditing reports, and two separate reports from the Fire Warden on the 1939 and 1940 fire seasons in which he stated that the 1939 season had 50 fires with light losses at moderate expense and the 1940 season had 42 fires with minimal losses and the smallest number of human-caused fires during any season in the history of the association. In 1940, the association employed a grazing inspector, a forestry student at the University of Idaho, to study range conditions and ascertain the location and extent of poisonous plant areas and their effect on grazing. The warden also reports on logging operations, maintenance, and improvements, such as the purchase of a bulldozer, new roads, and telephone lines. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1939 and 1940 fire seasons.",annual reports; financial statements; associations; fires (events); telephones; fire prevention; firefighting equipment; fire damage; bulldozers,,"Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1939-1940,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1939-1940.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1939-1940_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1939-1940_th.jpg
tpa030,pot_tpa1947-1948.pdf,Combined Annual Reports Potlatch Timber Protective Association 1947-1948,Potlatch Timber Protective Association,1948,1947-1948,"The 1947-1948 combined annual reports of the Potlatch Timber Protective Association include general recommendations, a report from the Regional Leader of the White Pine Blister Rust Control, financial reports and two separate reports from the Fire Warden on the 1947 and 1948 fire seasons in which the warden states that the 1947 season involved an electrical storm responsible for 52 of the 70 total fires of the season and the 1948 season was successful with only 22 fires. The warden reports on general operations, the ""Keep Idaho Green"" publicity campaign, and new improvements, such as airfield renovations, a steel watchtower on Elk Butte, a radio system, a portable electric megaphone, and an increase in the use of airplanes for scouting work. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1947 and 1948 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; airplanes; radio (telecommunications system); megaphones,"Hog Meadow; Feather Creek; Breakfast Creek; Elk Creek; Sheep Creek; Collins, Idaho; Robinson Ridge; Emerald Creek; Gold Creek; Three Bear Creek; Badger Trail; Mason Meadows; Tamarack Ridge; Helmer, Idaho; McGary Butte; Bovill, Idaho; Mason Butte; Elk River; Falls Creek; Gardner Creek; Stoney Creek; Grice Ridge; Goat Mountain; Stocking Meadows; Dent, Idaho; Fay Creek; Smith Ridge; Isabella Creek","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1939,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1947-1948.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1947-1948_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1947-1948_th.jpg
tpa031,pot_tpa1949.pdf,Combined Annual Reports Potlatch Timber Protective Association 1949-1950,Potlatch Timber Protective Association,1950,1949-1950,"The 1949-1950 combined annual reports of the Potlatch Timber Protective Association include general recommendations, a report on blister rust control operations, financial reports, and two separate reports from the Fire Warden on the 1947 and 1948 fire seasons in which the warden states that the 1949 season was long and difficult with 53 total fires and the 1950 season was successful with 69 total fires, the majority of which were caused by lightning. The warden reports on the ""Keep Idaho Green"" publicity campaign, the extensive use of airplanes for scouting, the development of new roads, new radio equipment, a fire plan for industrial logging operations, and a fire training school held at Elk River in cooperation with the Clearwater Association. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1949 and 1950 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; airplanes; radio (telecommunications system); megaphones; thunderstorms,"Christiansen Creek; Hog Meadow; Mason Butte; Elk River Pond; Goat Mountain; Cedar Ridge; Dicks Creek; Moose Creek; Jericho Ridge; Pinchot Mountain; Brown's Creek; Shattuck Butte; Swamp Creek; Tom Howard Creek; Elk Creek; Breakfast Creek; Longs Creek; McGary Butte; Stanton Creek; Smith Ridge; Cedar Creek; Gold Butte; Big Island; Fry Creek; Feather Creek; Homestead Creek; Bovill, Idaho; Boulder Creek; Jackson Butte; Butterfield Creek; Stoney Creek; Potlatch Creek; Cherry Butte; Four Corners, Idaho; Baldy Bear Creek; Isabella Creek; Big Creek","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1949,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1949.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1949_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1949_th.jpg
tpa032,pot_tpa1951-1952.pdf,Combined Annual Reports Potlatch Timber Protective Association 1951-1952,Potlatch Timber Protective Association,1952,1951-1952,"The 1951-1952 combined annual reports of the Potlatch Timber Protective Association include financial reports, a report on blister rust control operations, and two separate reports from the Fire Warden on the 1951 and 1952 fire seasons. The warden describes 1951 as one of the longest and most dangerous fire seasons on record with 46 fires reported and 1952 as a long and dry fire season with minimal timber loss and 40 fires reported. The warden reports on the ""Keep Idaho Green"" publicity campaign, maintenance and repairs, fire plans, fire hazards as a result of hunting season, fire training schools, inspections, new tanker trucks, and improvements in airplane and radio operations. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1951 and 1952 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; tank trucks; airplanes; radio (telecommunications system),"Shattuck Butte; Oviat Creek; Elk Creek; Butterfield Creek; Stanton Creek; Stocking Meadows; Floodwood State Forest; Cranberry Creek; Goat Creek; Gold Butte; Bronson Meadow; Green Mountain; McGary Butte; Elk River; Potlatch Creek; Tamarack Mountain; Dent, Idaho; Gold Hill; Stoney Creek; Timber Creek; Smith Ridge; Woesner Ridge; Falls Creek Ridge; Cedar Creek; St. Maries River; Big Island; Freeman Creek; Boehl's Butte; Pinchot Mountain","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1951-1952,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1951-1952.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1951-1952_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1951-1952_th.jpg
tpa033,pot_tpa1953-1954.pdf,Combined Annual Reports Potlatch Timber Protective Association 1953-1954,Potlatch Timber Protective Association,1954,1953-1954,"The 1953-1954 combined annual reports of the Potlatch Timber Protective Association include financial reports and two separate reports from the Fire Warden on the 1953 and 1954 fire seasons. The 1953 season was long and dry with normal fire occurances and 1954 also did not have great fire difficulty. The warden reports on labor and training, the ""Keep Idaho Green"" publicity campaign, maintenance work, blister rust control, hunting season, fire inspections, air operations, recommendations, and improvements, such as new airplane radios and fire control roads. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1953 and 1954 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; tank trucks; airplanes; radio (telecommunications system),"Elk Creek; Cameron, Idaho; Squaw Creek; Teakean Butte; Potlatch Creek; St. Joe, Idaho; Swamp Creek; Breakfast Creek; Tamarack Ridge; Gold Hill; Gold Creek; Gold Butte; Shattuck Butte; Bull Run Creek; Sour Dough Mountain; Collins, Idaho; Beals Butte; Stoney Butte; Copper Creek; Shea Meadows; Moose Creek; Cold Creek; McGary Butte; Cedar Creek; Stanton Creek; Helmer, Idaho; Bovill, Idaho; Hemlock Butte","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1953-1954,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1953-1954.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1953-1954_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1953-1954_th.jpg
tpa034,pot_tpa1955-1956.pdf,Combined Annual Reports Potlatch Timber Protective Association 1955-1956,Potlatch Timber Protective Association,1956,1955-1956,"The 1955-1956 combined annual reports of the Potlatch Timber Protective Association include financial reports and two separate reports from the Fire Warden on the 1955 and 1956 fire seasons. The warden describes 1955 as a safe fire season with only 26 fires recorded and 1956 as a very successful fire season with minimal timber loss. The warden reports on fire training and fire conferences, the ""Keep Idaho Green"" publicity campaign, air operations, forest insect control, blister rust control, improvements, and recommendations for the future. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1955 and 1956 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; thunderstorms; airplanes; radio (telecommunications system),"Hemlock Butte; Stoney Creek; Cedar Creek; Goat Creek; Stocking Meadows; Gold Creek; Timber Creek; Smith Ridge; Tamarack Ridge; Breakfast Creek; Colwell Creek; Goat Mountain; O'Donnell Creek; Homestead Creek; Meadow Creek; Jackson Butte; Glove Creek; Moose Creek; Isabella Ridge; Mason Butte; Boehl's Butte; Moose Meadows; Bobs Creek; Trail Creek; Shattuck Creek; Dicks Creek; Swamp Creek; Elk Creek; Potlatch Creek; Feather Creek; Kuykendahl Creek; Foehl Creek; Hog Meadow; Falls Creek; Alderman Ridge; Bovill, Idaho","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1955-1956,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1955-1956.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1955-1956_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1955-1956_th.jpg
tpa035,pot_tpa1957-1958.pdf,Combined Annual Reports Potlatch Timber Protective Association 1957-1958,Potlatch Timber Protective Association,1958,1957-1958,"The 1957-1958 combined annual reports of the Potlatch Timber Protective Association include financial reports and two separate reports from the Fire Warden on the 1947 and 1948 fire seasons. The warden describes 1957 as a favorable fire season despite being one of the longest and driest fire seasons on record; likewise, 1958 was a dangerous and dry fire season which was successfully managed. The warden reports on the Clarke-McNary Act, the excess property program, the association's new forestry program, blister rust control, inspections, air patrol use, and improvements. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1957 and 1958 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; thunderstorms; airplanes ,"Moose Creek; Neva Hill; Alderman Ridge; Breakfast Creek; Homestead Creek; Morris Creek; Kuykendahl Creek; Stocking Meadows; Boulder Creek; Bovill, Idaho; Elmberry Ridge; Shattuck Butte; O'Donnell Peak; Cranberry Creek; Jackson Mountain; Colwell Creek; Drift Creek; Grice Ridge; Cedar Creek Ridge; Canoe Creek Ridge; Battle Creek; Mason Butte; Isabella Ridge; Stoney Creek; Windy Peak; Elk River, Idaho; Hemlock Ridge; Stoney Butte; Pete Creek; Potlatch Creek; Elk Creek; Shea Meadows; Homestead Creek; Falls Creek; Moose Meadows; Corral Creek; Teakean Butte; Garden Creek; Gold Butte; Weitas Creek","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1957-1958,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1957-1958.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1957-1958_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1957-1958_th.jpg
tpa036,pot_tpa1959-1960.pdf,Combined Annual Reports Potlatch Timber Protective Association 1959-1960,Potlatch Timber Protective Association,1960,1959-1960,"The 1959-1960 combined annual reports of the Potlatch Timber Protective Association include financial reports, a report on blister rust control operations, and a combined report from the Fire Warden on the 1959 and 1960 fire seasons. The warden describes 1959 as a short fire season with some severe electrical storms, whereas 1960 was a short fire season that began as potentially dangerous but turned out to be milder after rains and cooler weather started in August. The warden reports on the association's insurance coverage, the use of fire retardants like borate, the use of helicopters, and repairs and improvements. The annual report features tables about climactic conditions and tables related to fire locations and damage during the 1959 and 1960 fire seasons.",annual reports; financial statements; associations; fires (events); fire prevention; firefighting equipment; fire damage; airplanes; thunderstorms; helicopters; borate; fireproofing agent,"Smith Ridge; Elk River, Idaho; Lindy Creek; Elk Creek; Windy Point; Breakfast Creek; Elk Butte; Goat Creek; Kuykendahl Ridge; Trapper Creek; Woesner Ridge; Stoney Creek; Grice Ridge; Isabella Creek; Brosten Ridge; Pinchot Butte; Potlatch Creek; Stocking Meadows; Dicks Creek; Deep Creek; Lepole Canyon; Shattuck Butte; Pinchot Creek; Timber Creek","Potlatch, Idaho",46.92237574,-116.898026,"Day - NW Collection, University of Idaho Library Special Collections and Archives",pot_tpa1959-1960,Text,report,application/pdf,,Timber Protective Association Pamphlets,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/tpa/pot_tpa1959-1960.pdf,https://objects.lib.uidaho.edu/tpa/small/pot_tpa1959-1960_sm.jpg,https://objects.lib.uidaho.edu/tpa/thumbs/pot_tpa1959-1960_th.jpg
