objectid,title,creator,editors,photographs,illustrations,graphic design,board of directors,date,date is approximate,description,subject,location,latitude,longitude,source,type,format original,format,digital collection,contributing institution,identifier,filename,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,cdm_url,cdmid
moscowcoop0082,Community News June 2000,Moscow Food Co-op,"London, Bill; Harris, Therese",,"Nelson, Nancy","Grinde, Kate","Evans, Shel Lee; Flexman, Erik; Hermanson, Jim; Hoffman, Bonnie; Mumford, Mark; Pengilly, Mimi; Peyer, Suzanne; Pingree, Al; Vaughan, Pat",2000-06,,,newsletters; cooperatives (business enterprises); exhibitions (events); delicatessens (built works),"Moscow, Idaho",46.73203791,-116.9990522,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2000june,communitynews-2000june.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2000june.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2000june_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2000june_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/81,81
moscowcoop0083,Community News September 2000,Moscow Food Co-op,"London, Bill; Harris, Therese",,"Nelson, Nancy","Perez, Tanya","Evans, Shel Lee; Flexman, Erik; Hermanson, Jim; Hoffman, Bonnie; Mumford, Mark; Pengilly, Mimi; Peyer, Suzanne; Pingree, Al; Vaughan, Pat",2000-09,,,newsletters; cooperatives (business enterprises); herbicide; herbs,"Moscow, Idaho",46.73203791,-116.9990522,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2000sept,communitynews-2000sept.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2000sept.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2000sept_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2000sept_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/82,82
moscowcoop0084,Community News March 1997,Moscow Food Co-op,"London, Bill; Harris, Therese","Canary, Linda","Carlson, Kendra; Murray Robin; Wentzell, Kristina","Grinde, Kate","Butters, Mary Jane; Stannard, Sandy; Kane, Kevin; Moffit, Chris; Reich, Vicki; Strand, Eva; Weingartner, Paul; Wildung, Kristi",1997-03,,,newsletters; cooperatives (business enterprises); seeds (plant components); juicers,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1997mar,communitynews-1997mar.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1997mar.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1997mar_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1997mar_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/83,83
moscowcoop0085,Community News June 2011,Moscow Food Co-op,"London, Bill","Bedirian, George","Rate, Lucas","Prusynski, Megan","Kuhle, Andrika; Hagen-Zakarison, Sheryl; Bentley, Jamie; Mumford, Mark; Vincent, Kimberly; Wilkinson, Donal",2011-06,,,newsletters; cooperatives (business enterprises); butchers; managers,"Moscow, Idaho",46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2011jun,communitynews-2011jun.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2011jun.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2011jun_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2011jun_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/84,84
moscowcoop0086,Community News June 2010,Moscow Food Co-op,"London, Bill","Hall, David","Rate, Lucas","Prusynski, Megan","Beck, Bill; Kuhle, Andrika; Vincent, Kimberly; Neese, Dena; Wilkinson, Donal; Bentley, Jamie",2010-06,,,newsletters; cooperatives (business enterprises); volunteering; documentary film; farms,"Moscow, Idaho",46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2010jun,communitynews-2010jun.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2010jun.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2010jun_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2010jun_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/85,85
moscowcoop0087,Community News February 2009,Moscow Food Co-op,"London, Bill","Hall, David","Rate, Lucas","Prusynski, Megan","Vincent, Kimberly; Beck, Bill; Wilkinson, Donal; Ryan, Kathleen; Thompson, Joe; Macfarlane, Gary; Caudill, Chris",2009-02,,,newsletters; cooperatives (business enterprises); art (discipline); bicycles; parking (area),"Moscow, Idaho",46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2009feb,communitynews-2009feb.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2009feb.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2009feb_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2009feb_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/86,86
moscowcoop0088,Community News August 2011,Moscow Food Co-op,"London, Bill","Bedirian, George","Rate, Lucas","Prusynski, Megan","Kuhle, Andrika; Hagen-Zakarison, Sheryl; Bentley, Jamie; Mumford, Mark; Vincent, Kimberly; Wilkinson, Donal",2011-08,,,newsletters; cooperatives (business enterprises); vineyards; honey,"Moscow, Idaho",46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2011aug,communitynews-2011aug.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2011aug.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2011aug_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2011aug_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/87,87
moscowcoop0089,Newsletter September 1986,Moscow Food Co-op,"London, Bill",,,"Parks, Rose Terry",,1986-09,,,newsletters; cooperatives (business enterprises); trade shows; diet,"Moscow, Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1986sep,newsletter_1986sep.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1986sep.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1986sep_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1986sep_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/88,88
moscowcoop0090,Newsletter July 1988,Moscow Food Co-op,"London, Bill",,,"Fromm, Karla",,1988-07,,,newsletters; cooperatives (business enterprises); organic gardening; sea salt,"Moscow, Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1988jul,newsletter_1988jul.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1988jul.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1988jul_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1988jul_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/89,89
moscowcoop0091,Newsletter January 1991,Moscow Food Co-op,"McHugh, Maree",,,"Palmer, Pam",,1991-01,,,newsletters; cooperatives (business enterprises); meat; poems,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1991jan,newsletter_1991jan.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1991jan.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1991jan_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1991jan_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/90,90
moscowcoop0092,Newsletter November 1987,Moscow Food Co-op,"London, Bill",,,"Rockwood, Melissa",,1987-11,,,newsletters; cooperatives (business enterprises); boards of directors; walking,"Moscow, Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1987nov,newsletter_1987nov.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1987nov.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1987nov_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1987nov_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/91,91
moscowcoop0093,Community News June 1994,Moscow Food Co-op,"London, Bill",,"Ruth, Paula","Cantrell, Kim","Harvey, Jeannie; Adams, Anne; Cunningham, Erika; Holmes, Evan; Pittinger, Dean; Reich, Vicki; Rosenthal, Mare; Strand, Eva",1994-06,,,newsletters; cooperatives (business enterprises); narrative poetry; bay leaf (material),"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1994june,communitynews-1994june.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1994june.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1994june_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1994june_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/92,92
moscowcoop0094,Newsletter February 1990,Moscow Food Co-op,"London, Bill",,,"Palmer, Pam",,1990-02,,,newsletters; cooperatives (business enterprises); cosmetics; environmental policy,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1990feb,newsletter_1990feb.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1990feb.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1990feb_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1990feb_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/93,93
moscowcoop0095,Community News August 1998,Moscow Food Co-op,"London, Bill; Harris, Therese",,"Maut, Heidi; Riley, Kelly","Perez, Tanya","Biller, Ernie; Cressler, Mike; Gale, Jim; Moffitt, Christine; Ogle, Nick; Pengilly, Mimi; Hermanson, John; Peyer, Suzanne",1998-08,,,newsletters; cooperatives (business enterprises); anniversaries; preserving,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1998aug,communitynews-1998aug.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1998aug.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1998aug_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1998aug_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/94,94
moscowcoop0096,Coop Newsletter August 1975,Moscow Food Co-op,,,,,,1975-08,,,newsletters; cooperatives (business enterprises); reports,"Moscow, Idaho",46.73221,-116.99993,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,coop-1975-aug,coop-1975-aug.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/coop-1975-aug.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/coop-1975-aug_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/coop-1975-aug_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/95,95
moscowcoop0097,Community News January 2004,Moscow Food Co-op,"London, Bill; Harris, Therese",,"Robinson-Smith, Debi","Maxwell, Jill","Forbes, Mike; Bridges, George; Beaver, Theresa; Hoffman, Bonnie; Kingery, Margaret; Pingree, Llewellyn; Mumford, Mark",2004-01,,,newsletters; cooperatives (business enterprises); New Year's Day; grocers,"Moscow, Idaho",46.73203791,-116.9990522,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2004jan,communitynews-2004jan.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2004jan.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2004jan_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2004jan_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/96,96
moscowcoop0098,Community News December 1998,Moscow Food Co-op,"London, Bill; Harris, Therese",,"Maut, Heidi","Grinde, Kate","Biller, Ernie; Cressler, Mike; Gale, Jim; Moffitt, Christine; Ogle, Nick; Pengilly, Mimi; Hermanson, John; Peyer, Suzanne",1998-12,,,newsletters; cooperatives (business enterprises); delicatessens (built works); fund raising,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1998dec,communitynews-1998dec.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1998dec.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1998dec_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1998dec_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/97,97
moscowcoop0099,Community News August 1996,Moscow Food Co-op,"London, Bill; Harris, Therese","Goodman, Eric",,"Grinde, Kate","Becker, Mark; Harris, Melissa; Moffit, Chris; Reich, Vicki; Stannard, Sandy; Strand, Eva; Wildung, Kristi",1996-08,,,newsletters; cooperatives (business enterprises); preserving; canning tools,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1996aug,communitynews-1996aug.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1996aug.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1996aug_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1996aug_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/98,98
moscowcoop0100,Community News January 2005,Moscow Food Co-op,"London, Bill; Harris, Therese","Hall, David","Robinson-Smith, Debi","Simpson, Melissa L.","Forbes, Mike; Beaver, Theresa; Vincent, Kimberly; Hoffman, Bonnie; Kingery, Peg; Simpson, Will; Pingree, Al",2005-01,,,newsletters; cooperatives (business enterprises); volunteers; boards of directors,"Moscow, Idaho",46.73203791,-116.9990522,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2005jan,communitynews-2005jan.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2005jan.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2005jan_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2005jan_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/99,99
moscowcoop0101,Community News June 2002,Moscow Food Co-op,"London, Bill",,"Weist, Jacob","Maxwell, Jill","Vaughan, Pat; Flexman, Erik; Hoffman, Bonnie; Evans, Shel Lee; Mumford, Mark; Pingree, Al; Kingery, Peg; Bridges, George",2002-06,,,newsletters; cooperatives (business enterprises); farmers' markets; Fungi (Kingdom),"Moscow, Idaho",46.73203791,-116.9990522,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2002june,communitynews-2002june.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2002june.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2002june_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2002june_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/100,100
moscowcoop0102,Community News February 1997,Moscow Food Co-op,"London, Bill; Harris, Therese","Canary, Linda","Wentzell, Kristina","Grinde, Kate","Butters, Mary Jane; Stannard, Sandy; Kane, Kevin; Moffit, Chris; Reich, Vicki; Strand, Eva; Weingartner, Paul; Wildung, Kristi",1997-02,,,newsletters; cooperatives (business enterprises); tomato;  hot tubs,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1997feb,communitynews-1997feb.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1997feb.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1997feb_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1997feb_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/101,101
moscowcoop0103,Community News April 2010,Moscow Food Co-op,"London, Bill","Hall, David","Rate, Lucas","Prusynski, Megan","Vincent, Kimberly; Beck, Bill; Neese, Dena; Macfarlane, Gary; Wilkinson, Donal; Norden, Chris; Kuhle, Andrika",2010-04,,,newsletters; cooperatives (business enterprises); bicycles; festivals; breakfasts,"Moscow, Idaho",46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2010apr,communitynews-2010apr.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2010apr.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2010apr_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2010apr_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/102,102
