title,description,authors,date,subject,publisher,identifier,rights,rightsstatement,document type,type,format,language,filename,cdm_url,cdmid,objectid,display_template,filename2,object_location,image_small,image_thumb,errors
Vegetation Treatment Effects in a Wyoming Big Sagebrush Community and A Comparison of Two Methods for Estimating Shrub Canopy Cover,"Thesis by Katie Santini concerning Monitoring, Plant Communities and other subjects",Katie Santini,2012,Monitoring; Plant Communities,University of Idaho,Santini_2012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/30,30,rangecoll30,pdf,rangecoll30.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll30.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll30_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll30_th.jpg,
"Using Cluster Analysis and Ordination to Describe the Habitat of Spalding's Catchfly, a Threatened Forb, at Garden Creek Ranch","Thesis by Mamie Smith concerning Plant Communities, Ecology, Native Plants and other subjects",Mamie Smith,2007,Plant Communities; Ecology; Native Plants,University of Idaho,Smith_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/31,31,rangecoll31,pdf,rangecoll31.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll31.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll31_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll31_th.jpg,
An Assessment of Abandoned Railroad Grades in Riparian Areas in the University of Idaho Experimental Forest,"Thesis by Eric Loomis concerning Monitoring, Rangeland Management and other subjects",Eric Loomis,2004,Monitoring; Rangeland Management,University of Idaho,Loomis_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/32,32,rangecoll32,pdf,rangecoll32.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll32.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll32_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll32_th.jpg,
Long-Term Vegetation Dynamics and Post-Fire Establishment Patterns of Sagebrush Steppe,"Thesis by Elizabeth Colket concerning Fire, Plant Communities, Monitoring and other subjects",Elizabeth Colket,2003,Fire; Plant Communities; Monitoring,University of Idaho,Colket_2003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/33,33,rangecoll33,pdf,rangecoll33.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll33.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll33_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll33_th.jpg,
Perennial Shrub and Harvester Ant Responses to Environmental Gradients in Southern California Deserts,Thesis by Ben Wissinger concerning Ecology and other subjects,Ben Wissinger,2012,Ecology,University of Idaho,Wissinger_2012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/34,34,rangecoll34,pdf,rangecoll34.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll34.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll34_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll34_th.jpg,
Western Juniper Succession: Changing Fuels and Fire Behavior,"Thesis by Curtis Yanish concerning Fire, Ecology, Monitoring and other subjects",Curtis Yanish,2002,Fire; Ecology; Monitoring,University of Idaho,Yanish_2002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/35,35,rangecoll35,pdf,rangecoll35.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll35.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll35_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll35_th.jpg,
"Effects of Livestock Trampling on Lepidium Papilliferum, its Habitat and Subsequent Hydrology in Southwestern Idaho","Thesis by Jacob Young concerning Native Plants, Grazing, Plant Communities and other subjects",Jacob Young,2007,Native Plants; Grazing; Plant Communities,University of Idaho,Young_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/36,36,rangecoll36,pdf,rangecoll36.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll36.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll36_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll36_th.jpg,
A Preliminary Classification of Snake River Canyon Grasslands in Idaho,"Technical Guide by Edwin Tisdale concerning Plant Communities, Ecology and other subjects",Edwin Tisdale,1979,Plant Communities; Ecology,University of Idaho,Prelim-Canyon-Grasslands_1979,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Technical Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/37,37,rangecoll37,pdf,rangecoll37.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll37.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll37_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll37_th.jpg,
A Rancher's Guide to Monitoring Rangelands,"Report by Kenneth Sanders concerning Monitoring, Rangeland Management and other subjects",Kenneth Sanders,2006,Monitoring; Rangeland Management,University of Idaho,Monitoring-Ranchers-Guide_2006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Report,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/38,38,rangecoll38,pdf,rangecoll38.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll38.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll38_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll38_th.jpg,
"Landscape Dynamics in Aspen and Western Juniper Woodlands on the Owyhee Plateau, Idaho","Dissertation by Eva Strand concerning Remote Sensing, Plant Communities, Fire and other subjects",Eva Strand,2007,Remote Sensing; Plant Communities; Fire,University of Idaho,Strand_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/39,39,rangecoll39,pdf,rangecoll39.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll39.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll39_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll39_th.jpg,
A Simplified Chemical Method for Sagebrush Identification,"Technical Guide by Al Winward et al. concerning Plant Communities, Ecology and other subjects",Al Winward; E.W. Tisdale,1969,Plant Communities; Ecology,University of Idaho,Winward-Tisdale_1969,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Technical Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/40,40,rangecoll40,pdf,rangecoll40.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll40.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll40_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll40_th.jpg,
A Stubble Height Study Report,"Report by Kenneth Sanders concerning Grazing, Monitoring and other subjects",Kenneth Sanders,2004,Grazing; Monitoring,University of Idaho,Stubble-Height-Report_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Report,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/41,41,rangecoll41,pdf,rangecoll41.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll41.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll41_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll41_th.jpg,
Anti-Quality Factors in Rangeland and Pastureland Forages,"Book by Karen Launchbaugh (ed.) concerning Pasture, Rangeland Management, Grazing and other subjects",Karen Launchbaugh (ed.),2001,Pasture; Rangeland Management; Grazing,University of Idaho,Anti-Quality_2001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Book,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/42,42,rangecoll42,pdf,rangecoll42.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll42.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll42_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll42_th.jpg,
Canyon Grasslands and Associated Shrublands of West-central Idaho and Adjacent Areas,"Technical Guide by Edwin Tisdale concerning Plant Communities, Ecology and other subjects",Edwin Tisdale,1986,Plant Communities; Ecology,University of Idaho,Canyon-Grasslands_1986,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Technical Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/43,43,rangecoll43,pdf,rangecoll43.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll43.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll43_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll43_th.jpg,
Age and Body Condition of Goats Influences Consumption of Redberry Juniper (Juniperus coahuilensis) and Disposition of Four Monoterpenes,"Dissertation by Rachel Frost concerning Grazing, Livestock and other subjects",Rachel Frost,2005,Grazing; Livestock,University of Idaho,Frost_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/44,44,rangecoll44,pdf,rangecoll44.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll44.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll44_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll44_th.jpg,
"Herbivory in the Intermountain West: An Overview of Evolutionary History, Historic Cultural Impacts and Lessons From the Past","Book by Wayne Burkhardt concerning Herbivory, Grazing, Rangeland Management, Livestock, Wildlife and other subjects",Wayne Burkhardt,1996,Herbivory; Grazing; Rangeland Management; Livestock; Wildlife,University of Idaho,Herbivory-Intmtn-West_1996,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Book,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/45,45,rangecoll45,pdf,rangecoll45.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll45.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll45_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll45_th.jpg,
How Long Should Rangelands Be Rested from Livestock Grazing Following a Fire?,"Report by Kenneth Sanders concerning Rangeland Management, Fire, Grazing and other subjects",Kenneth Sanders,2000,Rangeland Management; Fire; Grazing,University of Idaho,Sanders_2000,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Report,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/46,46,rangecoll46,pdf,rangecoll46.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll46.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll46_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll46_th.jpg,
Sagebrush-Grass Habitat Types of Southern Idaho,"Technical Guide by Min Hironaka et al. concerning Plant Communities, Ecology and other subjects",Min Hironaka; M.A. Fosberg; A.H. Winward,1983,Plant Communities; Ecology,University of Idaho,Hironaka-Fosberg-Winward_1983,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Technical Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/47,47,rangecoll47,pdf,rangecoll47.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll47.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll47_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll47_th.jpg,
Seven Popular Myths About Livestock Grazing on Public Lands,"Report by Jeff Mosley et al. concerning Livestock, Grazing and other subjects",Jeff Mosley; E.L. Smith; P.R. Ogden,1990,Livestock; Grazing,University of Idaho,Popular-Myths-Grazing_1990,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Report,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/48,48,rangecoll48,pdf,rangecoll48.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll48.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll48_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll48_th.jpg,
Suggested Management Programs for Grazing Crested Wheatgrass,"Technical Guide by Lee Sharp concerning Grazing, Rangeland Management, Livestock and other subjects",Lee Sharp,1970,Grazing; Rangeland Management; Livestock,University of Idaho,Grazing_Crested_Wheatgrass_1970,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Technical Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/49,49,rangecoll49,pdf,rangecoll49.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll49.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll49_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll49_th.jpg,
Establishing Reference Sites and Evaluating Thinning and Burning As Restoration Tools for the Northern Idaho Ground Squirrel (Urocitellus brunneus),"Thesis by Elise Suronen concerning Restoration, Fire, Wildlife and other subjects",Elise Suronen,2012,Restoration; Fire; Wildlife,University of Idaho,Suronen_2012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/50,50,rangecoll50,pdf,rangecoll50.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll50.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll50_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll50_th.jpg,
The Use of Nurse Crops for Roadside Revegetation,"Thesis by Mitch Thomas concerning Restoration, Plant Communities, Native Plants and other subjects",Mitch Thomas,2002,Restoration; Plant Communities; Native Plants,University of Idaho,Thomas_2002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/51,51,rangecoll51,pdf,rangecoll51.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll51.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll51_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll51_th.jpg,
Guide for Quantifying Fuels in the Sagebrush Steppe and Juniper Woodlands of the Great Basin,"Field Guide by Andrea Stebleton et al. concerning Fire, Rangeland Management, Monitoring and other subjects",Andrea Stebleton; S. Bunting,2009,Fire; Rangeland Management; Monitoring,University of Idaho,SageSTEP-Fuels-Guide_2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Field Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/52,52,rangecoll52,pdf,rangecoll52.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll52.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll52_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll52_th.jpg,
Guide for Quantifying Post-Treatment Fuels in the Sagebrush Steppe and Juniper Woodlands of the Great Basin,"Field Guide by Andrea Stebleton et al. concerning Fire, Rangeland Management, Monitoring and other subjects",Andrea Stebleton; S. Bunting,2009,Fire; Rangeland Management; Monitoring,University of Idaho,SageSTEP-Post-Fuels-Guide_2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Field Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/53,53,rangecoll53,pdf,rangecoll53.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll53.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll53_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll53_th.jpg,
Pasture and Grazing Management in the Northwest,"Book by Glenn Shewmaker et al. concerning Pasture, Grazing, Rangeland Management and other subjects",Glenn Shewmaker; M.G. Bohle (eds.),2010,Pasture; Grazing; Rangeland Management,Pacific Northwest Extension Publication 614,Pasture-Grazing-Mgmt-PNW_2010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Book,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/54,54,rangecoll54,pdf,rangecoll54.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll54.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll54_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll54_th.jpg,
Effects of a Specific Sordaria Fimicola Strain on Fecundity and Herbivory of Bromus Tectorum,"Thesis by Jason Campbell concerning Invasive Plants, Ecology and other subjects",Jason Campbell,2013,Invasive Plants; Ecology,University of Idaho,Campbell_2013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/55,55,rangecoll55,pdf,rangecoll55.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll55.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll55_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll55_th.jpg,
Sage-grouse Habitat in Idaho: A Pratical Guide for Landowners and Managers,"Field Guide by Jeff Gillian et al. concerning Wildlife, Rangeland Management and other subjects",Jeff Gillian; E.K. Strand,2010,Wildlife; Rangeland Management,University of Idaho,Sage-grouse-guide_2010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Field Guide,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/56,56,rangecoll56,pdf,rangecoll56.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll56.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll56_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll56_th.jpg,
50+ Years of Change on Abandoned Farmland in Southern Idaho,"Report by Steve Bunting concerning Invasive Plants, Ecology, Herbivory and other subjects",Steve Bunting,1993,Invasive Plants; Ecology; Herbivory,University of Idaho,Bunting-Piemeisel-Report_1993,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Report,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/57,57,rangecoll57,pdf,rangecoll57.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll57.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll57_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll57_th.jpg,
"Interactions Among Grazing, Fire, and Invasive Plants in the Sagebrush Steppe Ecosystem","Report by Eva Strand et al. concerning Fire, Grazing, Invasive Plants and other subjects",Eva Strand; B.H. Brockett; B.J. Goehring; S. Hatch; A.L. Kuchy; A.A. Stebelton; K.L. Launchbaugh,2008,Fire; Grazing; Invasive Plants,University of Idaho,Murphy-Final-Report_2008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Report,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/58,58,rangecoll58,pdf,rangecoll58.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll58.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll58_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll58_th.jpg,
Targeted Grazing - A Natural Approach to Vegetation Management,"Book by Karen Launchbaugh et al. concerning Grazing, Rangeland Management, Livestock and other subjects",Karen Launchbaugh; J.W. Walker; R. Daines (eds.),2006,Grazing; Rangeland Management; Livestock,American Sheep Industry,ASI-Target-Grazing-Book_2006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Book,Text,application/pdf,eng,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/59,59,rangecoll59,pdf,rangecoll59.pdf,https://objects.lib.uidaho.edu/rangecoll/rangecoll59.pdf,https://objects.lib.uidaho.edu/rangecoll/small/rangecoll59_sm.jpg,https://objects.lib.uidaho.edu/rangecoll/thumbs/rangecoll59_th.jpg,
