title,description,creator,date,contributors,subject,keywords-theme,keywords-tree,location,region,project,publisher,digital collection,holding institution,source,identifier,doi,rightsstatement,rights,project material,type,format,language,date digital,digital specifications,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb
Examining the Relationship Between Host Monoterpenes and Douglas-fir Tussock Moth (Orgyiapseudotsugata),2009 Annual Meeting Presentation,Amy Carroll,2009,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Health Regional Fertilization Trials,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,4-1 Carroll_N and Tussock Moth_2009,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3470,3470,iftnc3470,pdf,iftnc3470.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3470.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3470_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3470_th.jpg
Endophytic Fungi in Good and Bad Plants,2010 Annual Meeting Presentation,George Newcombe,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Newcombe Presentation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3471,3471,iftnc3471,pdf,iftnc3471.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3471.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3471_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3471_th.jpg
Geospatial Site Types: Opportunities,2010 Annual Meeting Presentation,Paul Gessler,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Gessler Handout,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3472,3472,iftnc3472,pdf,iftnc3472.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3472.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3472_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3472_th.jpg
Density Control and Fertilization in Young Western Larch,2010 Annual Meeting Presentation,Mark Kimsey,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Density Management,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Kimsey_Sylvis_Presentation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3473,3473,iftnc3473,pdf,iftnc3473.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3473.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3473_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3473_th.jpg
Site Type Initiative - Initiative to Characterize Principal Factors that Define Forest Site-Types,2010 Annual Meeting Presentation,Mark Kimsey,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Site Type Initiative,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Kimsey_STI_Presentation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3474,3474,iftnc3474,pdf,iftnc3474.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3474.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3474_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3474_th.jpg
Lidar: Future Directions for Forest Management,2009 Annual Meeting Presentation,Alistair Smith,2009,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,5-Smith Where have all the trees gone,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3475,3475,iftnc3475,pdf,iftnc3475.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3475.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3475_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3475_th.jpg
"Soil Monitoring on the Kootenai National Forest: From """"unknowledge"""" to partial knowledge",2010 Annual Meeting Presentation,Louis Kuennen,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Soils - Nutrition and Productivity,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Kuennen_Presentation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3476,3476,iftnc3476,pdf,iftnc3476.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3476.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3476_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3476_th.jpg
Soil Disturbance Associated with Timber Harvest Systems in the Northern Region,2010 Annual Meeting Presentation,Derrick Reeves; Mark Coleman; Deborah Page-Dumroese,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Soils - Nutrition and Productivity,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Reeves Presentation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3477,3477,iftnc3477,pdf,iftnc3477.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3477.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3477_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3477_th.jpg
The Effects of Biochar on Forest Soil Chemical Properties and Tree Growth,2011 Annual Meeting Presentation,Kristin McElligott; Mark Coleman; Debbie Page-Dumroese,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA","Forest Biomass Removal, Utilization (Bio-energy) and Soil Enhancement (Biochar)","Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,9-McElligott-Biochar Biomass Conversion,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3478,3478,iftnc3478,pdf,iftnc3478.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3478.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3478_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3478_th.jpg
NRCS Forest Ecological Sites,2011 Annual Meeting Presentation,Frank Gariglio,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",,"USDA Natural Resources Conservation Service, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,4-Gariglio-Ecological Site Description,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3479,3479,iftnc3479,pdf,iftnc3479.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3479.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3479_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3479_th.jpg
Development of suggested stocking levels for the Blue Mountains,2010 Annual Meeting Presentation,Dave Powell,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Biometrics and Modeling,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Powell presentation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3480,3480,iftnc3480,pdf,iftnc3480.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3480.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3480_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3480_th.jpg
"Nutrient Concentrations Before and After Timber Harvest in Mica Creek, Idaho",2011 Annual Meeting Presentation,John Gravelle,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Health and Nutrition,Pine Orchard Group,Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,5-Gravelle-Nutrient Concentrations,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3481,3481,iftnc3481,pdf,iftnc3481.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3481.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3481_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3481_th.jpg
Nutrition Effects on Future Forest Productivity: Harvest Site Quality Study,2011 Annual Meeting Presentation,Terry Shaw,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Health and Nutrition,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,7-Shaw-Nutrition Efects,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3482,3482,iftnc3482,pdf,iftnc3482.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3482.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3482_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3482_th.jpg
Stocking Levels & Their Influence on Riparian Inputs,2011 Annual Meeting Presentation,Mark Tepley,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Health and Nutrition,Cramer Fish Sciences,Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,10-Teply-Stocking Levels & Their Influence,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3483,3483,iftnc3483,pdf,iftnc3483.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3483.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3483_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3483_th.jpg
"TASS Epilogue, Case Study: Unique Simulations and Model-Assisted Field Installation Design, Caribou Habitat Modeling",2011 Annual Meeting Presentation,Jim Goudie,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Biometrics and Modeling,"British Columbia Ministry of Forests, Vancouver",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,1b-Goudie-TASS Epilogue,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3484,3484,iftnc3484,pdf,iftnc3484.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3484.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3484_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3484_th.jpg
TASS III: The Next Generation? of a Growth & Yield Model for Complex Stands,2011 Annual Meeting Presentation,Jim Goudie,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Biometrics and Modeling,"British Columbia Ministry of Forests, Vancouver",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,1a-Goudie TASS III Next Generation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3485,3485,iftnc3485,pdf,iftnc3485.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3485.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3485_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3485_th.jpg
Developing a Risk Rating System for Soil Susceptibility to Group-Based Timber Harvest,2011 Annual Meeting Presentation,Derrick Reeves; Matthew Reeves; Ann Abbott; Deborah S. Page-Dumroese; Mark Coleman,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Soils - Nutrition and Productivity,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,8-Reeves-Developing Risk Rating Systems,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3486,3486,iftnc3486,pdf,iftnc3486.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3486.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3486_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3486_th.jpg
Site Type Initiative - Initial Stocking and Productivity Analysis,2011 Annual Meeting Presentation,Mark Kimsey,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Site Type Initiative,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,3-Kimsey-Site Type Initiative,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3487,3487,iftnc3487,pdf,iftnc3487.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3487.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3487_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3487_th.jpg
Management of Douglas-fir Nutrition for the Inland Northwest - IFTNC Annual Meeting,2011 Annual Meeting Presentation,Mark Coleman,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Douglas-fir Regional Fertilization Trials,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,6-Coleman-Managment of Douglas-fir,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3488,3488,iftnc3488,pdf,iftnc3488.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3488.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3488_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3488_th.jpg
Biomass Research Opportunities and Nutrition Management - IFTNC Annual Meeting,2011 Annual Meeting Presentation,Mark Coleman,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA","Forest Biomass Removal, Utilization (Bio-energy) and Soil Enhancement (Biochar)","Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,12-Coleman-Bioenergy Research Opportunities,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3489,3489,iftnc3489,pdf,iftnc3489.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3489.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3489_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3489_th.jpg
Herbicide Soil Reactions and the Impact of Site Factors,2011 Annual Meeting Presentation,Adam Robertson,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Site Type Initiative,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,11-Robertson-Herbicide Soil Reactions,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3490,3490,iftnc3490,pdf,iftnc3490.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3490.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3490_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3490_th.jpg
Site-Specific Douglas-fir Allometric Relationships: Nutrient Management Study,2010 Annual Meeting Presentation,Adam Robertson,2010,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Biometrics and Modeling,"Intermountain Forestry Cooperative, University of Idaho, College of Natural Resources, Moscow",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,Robertson Presentation,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3491,3491,iftnc3491,pdf,iftnc3491.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3491.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3491_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3491_th.jpg
TASS Interior Douglas-fir: Recalibration and Pre-commercial Thinning Simulations,2011 Annual Meeting Presentation,Catherine Bealle Statland,2011,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Biometrics and Modeling,"British Columbia Ministry of Forests, Vancouver",Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,2-Bealle-Statland TASS Interior Douglas-fir,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3492,3492,iftnc3492,pdf,iftnc3492.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3492.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3492_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3492_th.jpg
Pre-commercial thinning of western larch - 36 yr results,2012 Annual Meeting Presentation,Scott D. McLeod,2012,,Presentation,Presentation,,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Forest Density Management,Washington Dept. of Natural Resources,Intermountain Forestry Cooperative (IFC) Collection,University of Idaho,,1_McLeod,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Powerpoint,Text,application/pdf,eng,2016,Orginal paper copy scanned and combined into a .pdf by IFC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3493,3493,iftnc3493,pdf,iftnc3493.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3493.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3493_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3493_th.jpg
