objectid,title,creator,recipient,date,archival_date,approximated_date,description,subject,location,idaho_county,address,latitude,longitude,source,identifier,format_original,type,format,finding_aid,digital_collection,contributing_institution,language,rights,rightsstatement,list,filename,display_template,object_location,image_small,image_thumb
ictws_0246,Letter about the Reclamation Act of 1902,"Carrier, Dean W.","McClure, James",1979-07-10,10 July 1979,,Letter about the Reclamation Act of 1902 and the Idaho Chapter of the Wildlife Society's support for its revision.,letters; legislation; wildlife; mines; payments,"Washington, D.C.",,United States Senate,38.89270641,-77.00539922,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-021,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-021.pdf,mg511_b02_f095-021.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-021.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-021_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-021_th.jpg
ictws_0247,Letter about the Jersey-Jack Area,"Nee, James A.; Gore, James F.","Church, Frank",1979-07-20,20 July 1979,,"Letter about the wildlife in the Jersey-Jack Area. Wildlife includes but is not limited to mule deer, white-tailed deer, moose, and bighorn sheep. Letter includes handwritten notes in red ink and black ink on the top of the first page.",letters; comments; notes (documents); handwritten; wildlife; deer; moose; sheep,"Washington, D.C.",,"Room 245, United States Senate",38.89270641,-77.00539922,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-022,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-022.pdf,mg511_b02_f095-022.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-022.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-022_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-022_th.jpg
ictws_0248,Letter about EIS and BPNCA,"Gore, James F.","Bibles, Dean",1979-07-20,20 July 1979,,Letter about the draft EIS (Environmental Impact Statement) covering the proposed BPNCA (Birds of Prey National Conservation Area).,letters; legislation; birds (animals),"Boise, Idaho",Ada County,230 Collins Road,43.61700958,-116.1889686,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-023,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-023.pdf,mg511_b02_f095-023.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-023.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-023_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-023_th.jpg
ictws_0249,Letter about proposed legislation,"Howard, Richard P.","Harper, James A.",1979-08-22,22 August 1979,,Letter about proposed legislation for the Birds of Prey Area acreage expansion. Handwritten comment on the top of the page,letters; legislation; birds (animals); acres; land; comments; handwritten,"Portland, Oregon",,PO Box 3503,45.5148142,-122.6756871,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-024,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-024.pdf,mg511_b02_f095-024.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-024.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-024_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-024_th.jpg
ictws_0250,Letter about the U.S. Forest Service Rare II Proposal,"Gore, James F.","Evans, John",,undated,,Letter about the U.S. Forest Service Rare II Proposal and two recommended additions 1-662 and 1-148.,letters; proposals; legislation,"Boise, Idaho",Ada County,State Capitol,43.61789688,-116.1996097,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-025,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-025.pdf,mg511_b02_f095-025.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-025.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-025_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-025_th.jpg
ictws_0251,Statement of the Idaho Chapter of the Wildlife Society on Replacement or Modification of the Clearwater River Memorial Bridge,"Carrier, Dean W.",,1979-01-31,31 January 1979,,Statement of the Idaho Chapter of the Wildlife Society on Replacement or Modification of the Clearwater River Memorial Bridge.,letters; statements; bridges; wildlife,"Coeur d'Alene, Idaho",Kootenai County,3507 Buckskin Road,47.71024352,-116.8398523,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-026,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-026.pdf,mg511_b02_f095-026.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-026.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-026_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-026_th.jpg
ictws_0252,Letter about commercial traffic,"Gore, James F.","Evans, John",1979-09-26,26 September 1979,,A very short letter of the ICTWS' opposition to increasing commercial traffic on the Idaho portion of U.S. 12. Handwritten comment in black ink on the top right of the first page.,letters; statements; highways; traffic; handwritten; comments,"Boise, Idaho",Ada County,Statehouse,43.61792018,-116.1996097,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-027,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-027.pdf,mg511_b02_f095-027.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-027.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-027_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-027_th.jpg
ictws_0253,Mailgram  from W. Dean Carrier,"Carrier, Dean W.","McClure, James",1979-11-02,02 November 1979,,"A mailgram/confirmation copy of a message regarding Senate Bill 95, 96, 97.",messages; copies; bills (legislation); legislation,"Coeur d'Alene, Idaho",Kootenai County,3507 Buckskin Road,47.7102363,-116.8398202,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-028,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-028.pdf,mg511_b02_f095-028.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-028.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-028_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-028_th.jpg
ictws_0254,Letter about O-X Ranch,"Gore, James F.","Schwarz, Richard A.",1980-02-11,11 February 1980,,Letter about 0-X Ranch and protecting its wildlife.,letters; wildlife; ranchers,"Idaho Falls, Idaho",Bonneville County,"Rt. 4, Box 192",43.49295312,-112.0405735,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-029,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-029.pdf,mg511_b02_f095-029.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-029.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-029_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-029_th.jpg
ictws_0255,Letter about an OX Ranch Purchase,"Gore, James F.","Andrus, Cecil",1980-03-27,27 March 1980,,Letter stating the ICTWS' support in purchasing OX Ranch.,letters; wildlife; ranchers,"Washington, D.C.",,"Department of the Interior, 18th & C Streets, N.W.",38.90343307,-77.01317763,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-030,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-030.pdf,mg511_b02_f095-030.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-030.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-030_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-030_th.jpg
ictws_0256,Position Statement: Position RE. Lenore Dam,Idaho Chapter of the Wildlife Society,,1975,1970s,,A document on 'Position Statement: Position RE. Lenore Dam'. ICTWS opposing stance on any more dam construction near Clearwater river.,documents; dams; wildlife; construction,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-031,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-031.pdf,mg511_b02_f095-031.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-031.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-031_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-031_th.jpg
ictws_0257,Position Statement: RE Predator Management,Idaho Chapter of the Wildlife Society,,,undated,,"A document on 'Position Statement: RE Predator Management'. ICTWS stance on equitable policy, including but not limited to predators and livestock.",documents; policies; legislation; animals; predators; livestock,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-032,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-032.pdf,mg511_b02_f095-032.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-032.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-032_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-032_th.jpg
ictws_0258,POSITION STATEMENT--Idaho and Salmon River Breaks Primitive Areas,Idaho Chapter of the Wildlife Society,,1973-12-27,27 December 1973,,A document regarding 'Idaho and Salmon River Breaks Primitive Areas' with handwritten comments and edits in red ink.,documents; statements; handwritten; comments; edits; rivers; wilderness; wildlife,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-033,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-033.pdf,mg511_b02_f095-033.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-033.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-033_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-033_th.jpg
ictws_0259,Position Statement: RE. Additional Dams on the Middle Snake River in the Vicinity of Hell's Canyon,"Idaho Chapter of the Wildlife Society; Tilzey, Edward E.",,1970-06-04,04 June 1970,,A document on 'Additional Dams on the Middle Snake River in the Vicinity of Hell's Canyon'. Details on the ICTWS' support for Senate Bill 940 and opposition of any more dam construction.,documents; statements; construction; dams; rivers; bills (legislation); legislation,"Boise, Idaho",Ada County,,43.6149758,-116.1988791,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-034,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-034.pdf,mg511_b02_f095-034.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-034.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-034_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-034_th.jpg
ictws_0260,Position Statement: RE. Relocation of State Highway 64,Idaho Chapter of the Wildlife Society,,,undated,,The ICTWS' opposition to the relocation of Highway 64.,documents; highways; wilderness,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-035,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-035.pdf,mg511_b02_f095-035.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-035.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-035_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-035_th.jpg
ictws_0261,Position Statement: RE. The Legislative Proposal for National Recreational Area - National Park Status for the Sawtooth Valley and Adjacent Mountains,Idaho Chapter of the Wildlife Society,,,undated,,The ICTWS 'Legislative Proposal for National Recreational Area - National Park Status for the Sawtooth Valley and Adjacent Mountains'. The second document is a copy of the ICTWS Position Statement for the relocation of highway 64.,documents; legislation; proposals; statements; national parks; highways; wilderness,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-036,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-036.pdf,mg511_b02_f095-036.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-036.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-036_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-036_th.jpg
ictws_0262,Letter on 'Proposed Additions to Grays Lake National Wildlife Refuge',"Idaho Chapter of the Wildlife Society; Knight, Richard R.","Leege, Thomas",1972-05-23,23 May 1972,,A copy of the document 'Proposed Additions to Grays Lake National Wildlife Refuge' sent as a letter to a Thomas Leege.,documents; proposals; purchases; land; acres; lakes; letters (correspondence),"Moscow, Idaho",Latah County,Idaho Cooperative Wildlife Research Unit,46.73206593,-117.0001974,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-037,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-037.pdf,mg511_b02_f095-037.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-037.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-037_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-037_th.jpg
ictws_0263,Proposed Additions to Grays Lake National Wildlife Refuge,"Idaho Chapter of the Wildlife Society; Knight, Richard R.",,1972-04-12,12 April 1972,,ICTWS position statement on 'Proposed Additions to Grays Lake National Wildlife Refuge'.,documents; proposals; purchases; land; acres; lakes,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-038,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-038.pdf,mg511_b02_f095-038.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-038.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-038_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-038_th.jpg
ictws_0264,A Resolution for the Idaho Chapter of the Wildlife Society,"Carrier, Dean W.; Nee, James; Rath, Mike; BLM",,1976,1975-1977,,"Documents regarding a resolution for the Idaho Chapter of the Wildlife Society. Handwritten comments are also present, in pencil and blue and red ink.",documents; handwritten; comments; resolutions,,,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-039,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-039.pdf,mg511_b02_f095-039.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-039.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-039_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-039_th.jpg
ictws_0265,An extra copy of the 'Letter about the Jersey-Jack Area',"Nee, James A.; Gore, James F.","Church, Frank",1979-07-20,20 July 1979,,"An extra copy of the letter about the wildlife in the Jersey-Jack Area. Wildlife includes but is not limited to mule deer, white-tailed deer, moose, and bighorn sheep. Letter includes handwritten notes in red ink and black ink on the top of the first page.",letters; comments; notes (documents); handwritten; wildlife; deer; moose; copies,"Washington, D.C.",,"Room 245, United States Senate",38.89270641,-77.00539922,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-041,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-041.pdf,mg511_b02_f095-041.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-041.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-041_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-041_th.jpg
ictws_0266,Statement on River of No Return Wilderness,"Gore, James F.","Church, Frank",1979-05-24,24 May 1979,,A letter from the ICTWS asking Senator Church to support the Senate Bill 95.,letters; legislation; senate; bills (legislation); government; statements; rivers,"Boise, Idaho",Ada County,"City Council Chambers, 150 N. Capitol Blvd.",43.61547283,-116.2016491,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-042,letter,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-042.pdf,mg511_b02_f095-042.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-042.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-042_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-042_th.jpg
ictws_0267,Mailgram from James Nee,"Nee, James","Carter, Jimmy",1978-02-14,14 February 1978,,A mailgram/confirmation copy of a message regarding a Department of Energy Appropriation Bill. The ICTWS asks Jimmy Carter to veto the bill.,messages; copies; bills (legislation); legislation,"Washington, D.C.",,US Senate,38.89374006,-77.00563019,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b02_f095-043,document,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg511_b02_f095-043pdf,mg511_b02_f095-043.pdf,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b02_f095-043.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b02_f095-043_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b02_f095-043_th.jpg
