objectid,title,creator,date,archival_date,description,image_alt_text,subject,location,series,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename_original,filename,display_template,object_location,image_small,image_thumb
engrir078,Tesla Coil Security Door,Justin D. Stephens; Connor Radford; Andrea Cardona; Nico Piccioni,2021,2021,"2021 Engineering Design EXPO poster entitled ""10 Tesla Coil Security Door,"" created by Justin D. Stephens, Connor Radford, Andrea Cardona, Nico Piccioni. In the 2021 Program Guide, project is entitled ""Tesla Coil Based Security System."" University of Idaho College of Engineering, Department of Electrical and Computer Engineering.","Digital poster with text blocks, images of computer generated shapes, and photographs of electronic devices.",electrical engineering; engineering; instructional posters; security systems,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-026,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_3m3KhEcgsMhIx4A_Expo Poster Design.pptx,expo2021-026.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-026.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-026_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-026_th.jpg
engrir079,Dehydrating Mustard Seed Extract,Sophia Bowen; Leslie Hurtado,2021,2021,"2021 Engineering Design EXPO poster entitled ""Dehydrating Mustard Seed Extract,"" created by Sophia Bowen, Leslie Hurtado. In the 2021 Program Guide, project is entitled ""Dehydrating Mustard Seed Extract for Bio-Pesticide."" University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, engineering schematics, and a photograph of a large cylindrical device.",biological engineering; engineering; instructional posters; mustard (plant),"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-027,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_3PER1j3jdTBgSll_Spicy Extract.pptx,expo2021-027.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-027.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-027_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-027_th.jpg
engrir080,Stream Velocity Measurement Device,Cole Bailey; Max Rietze; Joshua Camper; Anthony Desantis,2021,2021,"2021 Engineering Design EXPO poster entitled ""Stream Velocity Measurement Device,"" created by Cole Bailey, Max Rietze, Joshua Camper, Anthony Desantis. University of Idaho College of Engineering, Department of Mechanical Engineering.","Digital poster with text blocks, photographs of a long rod and a group of people, and engineering schematics.",mechanical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-028,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_3R2wTNFdXYWnfjR_Stream_Team.pptx,expo2021-028.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-028.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-028_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-028_th.jpg
engrir081,Raspberry Pi II Movidius Real-Time Image Processing,Isabel Hinkle; Victoria Gehring; Oshan Karki; Jonathan Gift,2021,2021,"2021 Engineering Design EXPO poster entitled ""Raspberry Pi II Movidius Real-Time Image Processing,"" created by Isabel Hinkle, Victoria Gehring, Oshan Karki, Jonathan Gift. In the 2021 Program Guide, project is entitled ""Raspberry Pi Real Time Image Processing."" University of Idaho College of Engineering, Department of Computer Science.","Digital poster with text blocks and photographs of plants, a drone, and an elaborate camera device.",computer science; engineering; instructional posters;,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-029,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_3s50LqlojjmyyPp_final_poster_PiAI.pptx,expo2021-029.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-029.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-029_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-029_th.jpg
engrir082,Gas Phase Filtration Monitoring System,Matt Murphy-Sweet; Michael Eckhart; Jessy Faulkner,2021,2021,"2021 Engineering Design EXPO poster entitled ""Gas Phase Filtration Monitoring System,"" created by Matt Murphy-Sweet, Michael Eckhart, Jessy Faulkner. In the 2021 Program Guide, project is entitled ""Fuel Cell VOC Filtration Monitoring System."" University of Idaho College of Engineering, Department of Mechanical Engineering.","Digital poster with text blocks, engineering schematics, and a photograph of a metal cuboid device.",mechanical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-030,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_3shx3sICgdSUFV7_hevel.pptx,expo2021-030.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-030.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-030_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-030_th.jpg
engrir083,Smart Trip,Caleb Seely; Hunter Hawkins; Austin Penelerick; Damien Spencer,2021,2021,"2021 Engineering Design EXPO poster entitled ""Smart Trip,"" created Caleb Seely, Hunter Hawkins, Austin Penelerick, Damien Spencer. In the 2021 Program Guide, project is entitled ""Smart Trip Planning."" University of Idaho College of Engineering, Department of Computer Science.","Digital poster with text blocks, data graphs, and an image from a mapping application.",computer science; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-031,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_8B1ZtPHHQIvSS5z_Smart Trip Poster.pptx,expo2021-031.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-031.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-031_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-031_th.jpg
engrir084,RTDS Simulation of PV Inverter in a Small Power System,David Bowman; Lance Carr; David Lowe,2021,2021,"2021 Engineering Design EXPO poster entitled ""RTDS Simulation of PV Inverter in a Small Power System,"" created by David Bowman, Lance Carr, David Lowe. In the 2021 Program Guide, project is entitled ""RTDS Simulation of Solar Energy in a Small Power System."" University of Idaho College of Engineering, Department of Electrical and Computer Engineering.",Digital poster with text blocks and engineering schematics.,electrical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-032,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_8elIOgvlMJWuQBr_Simulation Sages Expo Poster Rev1.pptx,expo2021-032.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-032.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-032_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-032_th.jpg
engrir085,Cloud-Based Lab Instrumentation System,Connor Williams; Lucas Thoms; Benjamin Budai,2021,2021,"2021 Engineering Design EXPO poster entitled ""Cloud-Based Lab Instrumentation System,"" created by Connor Williams, Lucas Thoms, Benjamin Budai. University of Idaho College of Engineering, Department of Computer Science.","Digital poster with text blocks, engineering schematics, and a photograph of plants with red leaves in a greenhouse.",computer science; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-033,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_8pjlRPphFIiYqiJ_Expo-poster-SiloSystems.pdf,expo2021-033.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-033.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-033_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-033_th.jpg
engrir086,US-95: Deep Creek Bridge Replacement,Daniel Brands; Tony Clay; Cody Peters; Jade Williams,2021,2021,"2021 Engineering Design EXPO poster entitled ""US-95: Deep Creek Bridge Replacement,"" created by Daniel Brands, Tony Clay, Cody Peters, Jade Williams. University of Idaho College of Engineering, Department of Civil and Environmental Engineering.","Digital poster with text blocks, a computer generated image of a bridge over a creek, and data graphs.",civil engineering; engineering; instructional posters; bridges (built works),"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-034,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_9GlvWT5EfgMVLrP_Deep Creek Poster Final.pptx,expo2021-034.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-034.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-034_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-034_th.jpg
engrir087,Indiana Avenue and Homedale Road Intersection Redesign,Cameron May-Penelerick; Eric Mulligan; Saurav Neupane; Jordan Thompson,2021,2021,"2021 Engineering Design EXPO poster entitled ""Indiana Avenue and Homedale Road Intersection Redesign,"" created by Cameron May-Penelerick, Eric Mulligan, Saurav Neupane, Jordan Thompson. University of Idaho College of Engineering, Department of Civil and Environmental Engineering.","Digital poster with text blocks, an aerial image of a road intersection, and data graphs",civil engineering; engineering; instructional posters; intersections,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-035,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_9QAIJR5bJbjdWdX_Indiana Ave and Homedale Rd Intersection Redesign.pptx,expo2021-035.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-035.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-035_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-035_th.jpg
engrir088,Low-Cost Satellite Communication for CubeSats,Joseph Dennison; Robert Goes; Cosette King; Taegan Williams,2021,2021,"2021 Engineering Design EXPO poster entitled ""Low-Cost Satellite Communication for CubeSats,"" created by Joseph Dennison, Robert Goes, Cosette King, Taegan Williams. In the 2021 Program Guide, project is entitled ""Satellite Attitude Determination, Communication and Control with AI."" University of Idaho College of Engineering, Department of Electrical and Computer Engineering.","Digital poster with text blocks, engineering schematics, and a computer generated image of a satellite in orbit around the Earth.",electrical engineering; engineering; instructional posters; artificial satellites; spacecraft,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-036,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_32MeaY1S0clDV1X_9523_Expo_poster_final.pptx,expo2021-036.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-036.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-036_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-036_th.jpg
engrir089,FPGA Data Acquisition and Control,Jacob Jackson; Taylor Stewart; Cameron Williams,2021,2021,"2021 Engineering Design EXPO poster entitled ""FPGA Data Acquisition and Control,"" created by Jacob Jackson, Taylor Stewart, Cameron Williams. University of Idaho College of Engineering, Department of Electrical and Computer Engineering.","Digital poster with text blocks, engineering schematics, data graphs, and images of electronic devices.",electrical engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-037,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_33wgLCEsuVLywG1_Expo Poster.pptx,expo2021-037.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-037.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-037_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-037_th.jpg
engrir090,Low-Cost Controllable Hypoxia Chamber for Exploring Stem Cell Behavior,Andrew Hartman; Jacob Knudson; Colin Marchus; Alexandra Morrison; Isabell Strawn,2021,2021,"2021 Engineering Design EXPO poster entitled ""Low-Cost Controllable Hypoxia Chamber for Exploring Stem Cell Behavior,"" created by Andrew Hartman, Jacob Knudson, Colin Marchus, Alexandra Morrison, Isabell Strawn. University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, engineering schematics, data graphs, and a photograph of a group of people.",biological engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-038,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_77fjKevNqOBFu0N_HYPEngineers.pptx,expo2021-038.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-038.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-038_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-038_th.jpg
engrir091,Oil Refinery Update Design and Economic Analysis,Malacki Ginner; Luke Huguenin; Will Morgano; Levi Thomsen,2021,2021,"2021 Engineering Design EXPO poster entitled ""Oil Refinery Update Design and Economic Analysis,"" created by Malacki Ginner, Luke Huguenin, Will Morgano, Levi Thomsen. University of Idaho College of Engineering, Department of Chemical and Biological Engineering.",Digital poster with text blocks and engineering schematics.,chemical engineering; engineering; instructional posters; oil refineries,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-039,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_bCbv8uI3r4grXnb_Oil Refinery Update Design and Economic Analysis.pptx,expo2021-039.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-039.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-039_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-039_th.jpg
engrir092,ME Scheduling Software 2.0,Sydney Petrehn; Trinity Paulsen; Joshua Tan,2021,2021,"2021 Engineering Design EXPO poster entitled ""ME Scheduling Software 2.0,"" created by Sydney Petrehn, Trinity Paulsen, Joshua Tan. In the 2021 Program Guide, project is entitled ""Mechanical Engineering Scheduling Software."" University of Idaho College of Engineering, Department of Computer Science.",Digital poster with text blocks and data graphs.,computer science; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-040,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_e9veufNN9NINYUp_Expo Poster.pptx,expo2021-040.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-040.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-040_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-040_th.jpg
engrir093,Enterprise Virtualization in Minecraft,Graeme Holliday; Blake Rude; Nathan Zander,2021,2021,"2021 Engineering Design EXPO poster entitled ""Enterprise Virtualization in Minecraft,"" created by Graeme Holliday, Blake Rude, Nathan Zander. University of Idaho College of Engineering, Department of Computer Science.",Digital poster with text blocks and imagery from a blocky computer game.,computer science; engineering; instructional posters; video games,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-041,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_eqYP2YB0zk5tzGh_VMCraft-Poster.pptx,expo2021-041.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-041.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-041_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-041_th.jpg
engrir094,Ponderosa Lift Station Replacement,Alexus Connor; Michael Spiers; Sam Gibson; Alexis Brooks,2021,2021,"2021 Engineering Design EXPO poster entitled ""Ponderosa Lift Station Replacement,"" created by Alexus Connor, Michael Spiers, Sam Gibson, Alexis Brooks. In the 2021 Program Guide, project is entitled ""Ponderosa Lift Station Replacement in Post Falls, Idaho."" University of Idaho College of Engineering, Department of Civil and Environmental Engineering.","Digital poster with text blocks, engineering schematics, and data graphs.",civil engineering; engineering; instructional posters,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-042,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_OMV7DjifKApojMR_PonderosaLiftStationReplacement.pptx,expo2021-042.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-042.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-042_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-042_th.jpg
engrir095,Evaluation of Nanotechnology Coating for Electrical Enclosure Applications,Mark Currier; Kyle Mays; Tyler Wallace; Cassidy Story,2021,2021,"2021 Engineering Design EXPO poster entitled ""Evaluation of Nanotechnology Coating for Electrical Enclosure Applications,"" created by Mark Currier, Kyle Mays, Tyler Wallace, Cassidy Story. University of Idaho College of Engineering, Department of Mechanical Engineering.",Digital poster with text blocks and photographs of wooden boxes and metal electrical boxes.,mechanical engineering; engineering; instructional posters; nanotechnology,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-043,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_p3DFofpxJXAYlup_Nanovandalizers.pptx,expo2021-043.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-043.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-043_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-043_th.jpg
engrir096,Developing a Continuous Process to Recover Precious Metals from Electronic Waste by Use of ATF Ligand,Austin Greule; Chad Larsen; Marquis Atkinson; Mohsen Almalki,2021,2021,"2021 Engineering Design EXPO poster entitled ""Developing a Continuous Process to Recover Precious Metals from Electronic Waste by Use of ATF Ligand,"" created by Austin Greule, Chad Larsen, Marquis Atkinson. In the 2021 Program Guide, project is entitled ""Recovering Precious Metals from Electronic Waste by Using a Ligand."" University of Idaho College of Engineering, Department of Chemical and Biological Engineering.","Digital poster with text blocks, engineering schematics, and photographs of waste metal.",chemical engineering; engineering; instructional posters; precious metal,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-044,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_PANcdiosySFdghH_ATF Team EXPO Poster .pptx,expo2021-044.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-044.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-044_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-044_th.jpg
engrir097,Manufacturing Process for Infection Preventing Catheter,Matt Hodgson; Nik Gillihan; Tyler Haglund,2021,2021,"2021 Engineering Design EXPO poster entitled ""Manufacturing Process for Infection Preventing Catheter,"" created by Matt Hodgson, Nik Gillihan, Tyler Haglund. In the 2021 Program Guide, project is entitled ""Manufacturing Process for Infection-Preventing Foley Catheter."" University of Idaho College of Engineering, Department of Mechanical Engineering.",Digital poster with text blocks and photographs of elongated plastic bowls.,mechanical engineering; engineering; instructional posters; medical equipment,"Moscow, Idaho",Expo Posters,"Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expo2021-045,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,R_qI1IRe6mR6ahoqJ_Team Manity Engineering Expo Poster.pptx,expo2021-045.pdf,pdf,https://objects.lib.uidaho.edu/engrir/expo2021-045.pdf,https://objects.lib.uidaho.edu/engrir/small/expo2021-045_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/expo2021-045_th.jpg
